run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([18, 24, 36, 40, 50, 51, 106, 121, 154, 172, 190, 219, 234], np.float64(48.71006145495301))","([], np.float64(128.36006642222378))"
1,"([15, 23, 73, 76, 78, 79, 92, 126, 140, 194, 196, 201, 226, 237], np.float64(1.3283784566227679))","([], np.float64(116.0606774386529))"
2,"([7, 11, 23, 48, 80, 94, 124, 161, 181, 200, 216, 218, 226], np.float64(56.52785777849636))","([7, 94, 200], np.float64(116.46054257603679))"
3,"([10, 31, 34, 35, 39, 44, 60, 140, 168, 191, 194, 214, 249], np.float64(5.756991381514668))","([10, 39, 140], np.float64(105.09073626579455))"
4,"([37, 38, 45, 68, 78, 81, 98, 171, 172, 200, 212, 229, 244], np.float64(1.5096782067966728))","([], np.float64(125.77642087036587))"
5,"([3, 9, 30, 38, 55, 64, 99, 133, 151, 157, 185, 190, 206], np.float64(3.002800362542298))","([], np.float64(122.60328372036935))"
6,"([6, 49, 74, 76, 77, 96, 104, 148, 186, 188, 192, 221, 233], np.float64(6.40760710102517))","([], np.float64(123.75756005486842))"
7,"([22, 73, 81, 82, 83, 114, 146, 155, 171, 208, 211, 220, 245], np.float64(1.6719727465412915))","([245], np.float64(114.04822319946084))"
8,"([34, 55, 62, 64, 68, 99, 163, 167, 189, 225, 231, 234, 240, 246], np.float64(138.9635611647314))","([99], np.float64(125.52949073353143))"
9,"([25, 49, 56, 62, 87, 89, 124, 131, 149, 156, 182, 229, 232], np.float64(32.99862377821744))","([], np.float64(113.13191698432958))"
10,"([3, 7, 12, 16, 22, 66, 87, 107, 116, 139, 156, 210, 238], np.float64(22.077803362243092))","([116], np.float64(110.30035047781716))"
11,"([11, 30, 59, 70, 79, 96, 97, 128, 181, 248], np.float64(55.032344495577256))","([], np.float64(121.77104510200189))"
12,"([25, 40, 42, 48, 51, 62, 90, 125, 162, 186, 187, 204, 239], np.float64(1.8181045343746158))","([25], np.float64(112.93765465466912))"
13,"([71, 129, 133, 140, 141, 154, 160, 176, 179, 217, 221, 234, 243, 246], np.float64(0.8678330762033742))","([133, 176], np.float64(123.23427846254344))"
14,"([5, 61, 62, 66, 80, 136, 152, 153, 167, 193, 196, 226, 229], np.float64(1.2835280476428848))","([66], np.float64(122.59481171941978))"
15,"([32, 50, 80, 115, 153, 160, 165, 167, 174, 211, 220, 241, 245], np.float64(1.9429160441639346))","([80, 220, 245], np.float64(112.46765195949648))"
16,"([22, 25, 48, 49, 53, 68, 71, 132, 147, 156, 164, 171, 174, 189, 212, 215, 228, 235], np.float64(90.71851669158947))","([171, 212], np.float64(132.32371825678837))"
17,"([8, 46, 82, 85, 87, 106, 107, 109, 113, 135, 190, 191, 202, 237, 240], np.float64(5.048383391273916))","([85, 87], np.float64(111.88334744945683))"
18,"([21, 27, 32, 120, 131, 163, 182, 193, 206, 218, 220, 231, 238], np.float64(4.023561368017495))","([131], np.float64(120.74723801324724))"
19,"([21, 33, 57, 58, 88, 114, 122, 133, 164, 170, 183, 208, 231], np.float64(13.340446948594014))","([33], np.float64(115.21547195783059))"
20,"([2, 32, 42, 79, 120, 126, 146, 173, 190, 192, 194, 228, 237], np.float64(3.620251968570518))","([], np.float64(124.59724129701182))"
21,"([1, 23, 35, 57, 82, 97, 119, 143, 155, 197, 198, 230, 240], np.float64(3.0437191632554024))","([197], np.float64(115.65232065483447))"
22,"([31, 40, 46, 64, 65, 69, 86, 129, 150, 160, 204, 235], np.float64(90.50611812970531))","([65], np.float64(115.6979931067406))"
23,"([4, 14, 17, 44, 51, 76, 92, 109, 153, 167, 170, 181, 183, 200, 210, 220], np.float64(64.20797190245267))","([14, 93], np.float64(118.67653382677878))"
24,"([9, 13, 24, 40, 43, 108, 115, 126, 129, 162, 170, 190], np.float64(26.313609252230613))","([190], np.float64(106.30238468974233))"
25,"([13, 35, 57, 63, 90, 92, 94, 96, 102, 111, 119, 146, 241], np.float64(0.263402297899123))","([], np.float64(142.61655061250926))"
26,"([70, 71, 74, 75, 135, 140, 143, 146, 166, 204, 205, 216, 242], np.float64(3.7235092350139394))","([], np.float64(114.97240833089337))"
27,"([3, 36, 72, 78, 120, 135, 174, 178, 183, 200, 214, 233, 243, 245], np.float64(18.769977054487235))","([], np.float64(117.30270771210908))"
28,"([2, 24, 85, 86, 87, 89, 99, 120, 141, 153, 169, 204, 205], np.float64(1.2198291643954955))","([], np.float64(118.8192758685782))"
29,"([6, 15, 39, 42, 73, 99, 106, 109, 112, 149, 227], np.float64(76.2419768932234))","([15, 39], np.float64(110.21018775602363))"
30,"([12, 27, 61, 68, 71, 96, 153, 156, 170, 184, 189, 213, 227, 244], np.float64(1.2808607461489872))","([213], np.float64(114.26271173689999))"
31,"([24, 32, 44, 138, 159, 162, 164, 172, 192, 195, 207, 235, 238], np.float64(3.436841544808075))","([32], np.float64(107.52263731298562))"
32,"([1, 3, 16, 25, 67, 72, 78, 94, 130, 179, 205, 233, 236], np.float64(2.087877308826718))","([78, 94], np.float64(118.34755840034725))"
33,"([15, 35, 68, 82, 91, 119, 248], np.float64(97.2628902989428))","([15], np.float64(121.57243187692049))"
34,"([2, 37, 81, 83, 98, 107, 117, 131, 132, 181, 185, 189, 207, 239], np.float64(1.2082443887365653))","([2, 117, 131], np.float64(115.32669356943185))"
35,"([17, 59, 73, 91, 104, 109, 159, 171, 199, 216, 221, 245, 247], np.float64(0.2677694798501043))","([104, 221], np.float64(109.96363994316975))"
36,"([10, 22, 23, 36, 67, 97, 107, 108, 115, 137, 157, 206, 223], np.float64(4.017224658159452))","([], np.float64(119.59084753652255))"
37,"([11, 23, 27, 37, 46, 62, 72, 76, 87, 97, 138, 206, 220, 229, 236], np.float64(4.155320216130673))","([], np.float64(107.72976867623322))"
38,"([29, 69, 103, 104, 110, 125, 153, 161, 173, 194, 195, 215, 235], np.float64(3.1498198314853636))","([], np.float64(119.04529301376762))"
39,"([24, 25, 45, 54, 67, 77, 87, 117, 146, 196, 200, 205, 217, 227], np.float64(2.769644001282336))","([77], np.float64(119.25332580430535))"
40,"([0, 46, 52, 65, 101, 107, 118, 138, 153, 155, 166, 207, 235], np.float64(0.13269810626430284))","([235], np.float64(117.60510887526772))"
41,"([53, 58, 110, 115, 139, 156, 164, 166, 179, 204, 205, 229, 242], np.float64(2.6503114645126304))","([], np.float64(122.30904996074622))"
42,"([10, 14, 15, 107, 123, 144, 146, 162, 164, 208, 221, 232, 249], np.float64(0.9499104006343269))","([], np.float64(119.88992791081596))"
43,"([15, 67, 68, 83, 118, 131, 138, 142, 176, 217, 231, 245, 246], np.float64(1.5491641622209635))","([131, 231, 245], np.float64(109.84376905977162))"
44,"([25, 87, 109, 133, 136, 143, 149, 177, 181, 191, 202, 210], np.float64(18.049505843552407))","([202], np.float64(111.73272982175895))"
45,"([0, 13, 37, 66, 87, 94, 118, 138, 149, 169, 198, 200, 220, 233], np.float64(55.62006636326645))","([13, 37], np.float64(125.20734172602272))"
46,"([3, 41, 95, 104, 108, 118, 130, 167, 172, 182, 191, 208, 237], np.float64(0.7506008618248775))","([], np.float64(113.37910415062537))"
47,"([5, 14, 38, 85, 94, 106, 114, 195, 202, 208, 235, 237, 244], np.float64(1.1543461734129457))","([], np.float64(134.94408789560381))"
48,"([40, 62, 65, 98, 100, 102, 119, 172, 173, 189, 200, 217, 230], np.float64(0.18581988827097626))","([102], np.float64(114.05270366934356))"
49,"([13, 25, 39, 53, 57, 105, 123, 136, 144, 179, 181, 240, 245], np.float64(1.3402086677823246))","([136], np.float64(122.96519488548459))"
50,"([0, 2, 15, 19, 24, 31, 49, 51, 70, 83, 84, 137, 202], np.float64(18.54545454356807))","([], np.float64(114.14180775847002))"
51,"([40, 57, 88, 105, 156, 164, 171, 175, 186, 195, 204, 231, 245], np.float64(0.6719414366913943))","([88, 171], np.float64(117.53543728194363))"
52,"([42, 50, 109, 145, 147, 150, 176, 213], np.float64(99.11216981196588))","([147, 176], np.float64(112.37541380502344))"
53,"([0, 18, 73, 82, 122, 126, 147, 164, 176, 178, 182, 210, 228], np.float64(1.4188302968425894))","([182], np.float64(115.73625127035932))"
54,"([5, 48, 65, 78, 81, 101, 111, 135, 137, 153, 190, 198, 201, 205], np.float64(39.84360905793867))","([137], np.float64(126.0496406836636))"
55,"([36, 42, 52, 58, 90, 101, 109, 120, 142, 154, 168, 170, 192], np.float64(112.47932147212143))","([168], np.float64(115.46790486943135))"
56,"([16, 29, 35, 51, 76, 123, 127, 129, 152, 161, 173, 198, 209], np.float64(1.5176109488076355))","([], np.float64(112.02254104064724))"
57,"([14, 31, 68, 97, 119, 149, 154, 167, 214, 217, 224, 234, 245], np.float64(2.0684373103773797))","([68, 217], np.float64(120.64333544023968))"
58,"([1, 5, 17, 39, 54, 58, 68, 89, 126, 131, 148, 149, 183], np.float64(0.4057691141504696))","([], np.float64(116.2281730773447))"
