run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([3, 8, 17, 36, 43, 44, 57, 70, 71, 74, 77, 84, 90, 128, 133, 135, 137, 164, 190, 206, 211, 220, 221, 230, 239, 240, 244, 249], np.float64(140.3709843961606))","([], np.float64(278.65669376526654))"
1,"([11, 24, 35, 37, 51, 57, 71, 72, 81, 82, 84, 100, 103, 121, 126, 130, 131, 138, 154, 159, 165, 182, 212, 223, 226, 232, 233, 236, 245], np.float64(262.1281745210894))","([], np.float64(264.0750568353377))"
2,"([33, 38, 50, 51, 53, 56, 58, 65, 69, 73, 86, 93, 101, 104, 119, 129, 131, 140, 152, 161, 168, 179, 184, 189, 213, 230], np.float64(285.3832658330151))","([], np.float64(297.75663644884344))"
3,"([5, 53, 61, 65, 71, 78, 83, 161, 165, 183, 184, 190, 198, 199, 201, 202, 214, 226], np.float64(229.4409328555718))","([], np.float64(264.02334065113996))"
4,"([3, 9, 10, 18, 44, 46, 78, 83, 90, 94, 100, 102, 110, 117, 153, 155, 158, 172, 189, 193, 202, 210, 214, 230, 245, 249], np.float64(208.40677613061789))","([230], np.float64(255.4175480053269))"
5,"([4, 8, 9, 18, 21, 25, 26, 43, 46, 68, 72, 74, 82, 84, 94, 105, 106, 113, 120, 121, 123, 131, 142, 147, 151, 157, 177, 186, 232, 236], np.float64(247.41334838417802))","([], np.float64(267.2241712867893))"
6,"([9, 19, 22, 23, 42, 51, 57, 80, 82, 91, 92, 108, 125, 131, 139, 155, 177, 205, 236, 241, 243, 245, 249], np.float64(340.4403771261941))","([], np.float64(291.69204027506265))"
7,"([6, 18, 27, 30, 35, 41, 52, 65, 66, 71, 93, 95, 101, 121, 122, 129, 143, 149, 152, 155, 156, 164, 172, 188, 196, 207, 219, 228, 230, 235], np.float64(231.61890627243747))","([], np.float64(278.60046854357023))"
8,"([6, 7, 9, 40, 75, 80, 135, 139, 155, 156, 164, 169, 172, 194, 212, 239, 247, 249], np.float64(261.0006858056981))","([193], np.float64(275.4591505223379))"
9,"([12, 13, 44, 45, 65, 70, 76, 80, 88, 110, 115, 120, 136, 151, 155, 158, 163, 180, 188, 192, 204, 223, 228, 231], np.float64(276.7041974121867))","([76, 151], np.float64(268.2590853307789))"
10,"([5, 10, 23, 34, 51, 63, 75, 80, 94, 107, 120, 121, 142, 162, 176, 181, 188, 189, 205, 216, 227, 231], np.float64(278.0760918992085))","([], np.float64(262.3525939561922))"
11,"([44, 48, 49, 50, 53, 58, 71, 76, 88, 94, 114, 115, 119, 128, 133, 142, 148, 152, 168, 188, 202, 230, 232, 249], np.float64(217.51231355017336))","([], np.float64(287.3864709705083))"
12,"([3, 41, 49, 62, 73, 81, 108, 113, 119, 128, 129, 154, 155, 167, 183, 193, 197, 198, 209], np.float64(344.4726838103135))","([155, 167], np.float64(294.2495311748876))"
13,"([8, 12, 21, 22, 29, 30, 38, 41, 45, 63, 80, 82, 96, 98, 108, 114, 128, 156, 158, 167, 171, 174, 185, 194, 216, 229, 249], np.float64(302.84532091869613))","([], np.float64(263.4087535197916))"
14,"([2, 6, 23, 25, 37, 52, 66, 86, 98, 102, 127, 131, 138, 152, 153, 166, 173, 207, 209, 218, 234, 238], np.float64(260.5986529351859))","([127], np.float64(267.7869304827928))"
15,"([4, 9, 20, 30, 34, 94, 103, 128, 139, 161, 167, 194, 218, 225, 236, 241, 246], np.float64(306.84380026304035))","([], np.float64(285.1694091974929))"
16,"([8, 23, 35, 61, 78, 80, 102, 104, 109, 111, 132, 134, 142, 158, 167, 171, 173, 191, 218, 227, 236], np.float64(276.0347978677141))","([], np.float64(256.9441714906461))"
17,"([9, 23, 42, 69, 70, 84, 110, 116, 119, 123, 125, 160, 190, 198, 202, 207, 222, 247], np.float64(239.33052961523097))","([], np.float64(281.81738049875514))"
18,"([4, 9, 25, 49, 52, 53, 55, 59, 83, 90, 115, 118, 124, 131, 134, 141, 142, 147, 160, 168, 170, 172, 173, 188, 189, 195, 208, 221, 229, 243], np.float64(252.06364601829264))","([243], np.float64(266.3691164173234))"
19,"([10, 13, 34, 38, 63, 66, 78, 81, 83, 94, 100, 106, 108, 113, 116, 120, 129, 131, 136, 141, 150, 193, 223, 232, 241], np.float64(267.88531340060433))","([], np.float64(277.0853355808931))"
20,"([6, 16, 25, 29, 30, 42, 51, 56, 63, 79, 88, 96, 101, 130, 149, 151, 160, 180, 223, 224, 233, 235, 241], np.float64(335.55719945844623))","([51, 79], np.float64(269.60040173483355))"
21,"([0, 17, 41, 48, 51, 75, 93, 98, 100, 113, 121, 131, 161, 177, 184, 193, 213, 217, 218, 228, 243], np.float64(317.72305549247926))","([], np.float64(274.5037301718438))"
22,"([3, 15, 18, 23, 42, 51, 52, 56, 120, 125, 129, 131, 139, 140, 145, 149, 207, 218, 223, 249], np.float64(247.73557639784985))","([], np.float64(274.6829212939072))"
23,"([4, 10, 11, 14, 28, 32, 34, 57, 63, 66, 77, 85, 88, 93, 105, 113, 151, 182, 186, 198, 206, 219, 221, 223, 225, 237, 240], np.float64(227.67675510487305))","([88], np.float64(261.22078923353314))"
24,"([0, 1, 4, 6, 18, 21, 24, 27, 30, 33, 35, 52, 68, 78, 84, 91, 96, 124, 139, 169, 179, 180, 188, 192, 196, 203, 204, 205, 223, 234, 246, 247], np.float64(205.61649195605318))","([], np.float64(253.92351955115404))"
25,"([3, 4, 11, 15, 41, 42, 44, 50, 58, 62, 89, 97, 101, 122, 151, 154, 163, 170, 175, 178, 185, 199, 201, 204, 219, 226, 236, 243], np.float64(306.9404806074782))","([], np.float64(263.3583295924296))"
26,"([9, 11, 13, 20, 27, 39, 59, 87, 94, 107, 113, 128, 130, 131, 135, 151, 192, 193, 196, 232, 236, 239], np.float64(248.34848165571236))","([], np.float64(264.43235288029314))"
