run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([91, 101, 162], np.float64(0.4893518015297233))","([91, 101, 162], np.float64(26.578441957069632))"
1,"([8, 75, 113], np.float64(0.10212738321855047))","([8, 75, 113], np.float64(24.158289437907815))"
2,"([23, 78, 210], np.float64(0.38525222959891525))","([23, 78, 210], np.float64(20.22906133286001))"
3,"([110, 173, 227], np.float64(0.9463268197097798))","([110, 173, 227], np.float64(21.11199247068874))"
4,"([17, 70, 240], np.float64(0.7183087588789587))","([17, 70, 240], np.float64(21.059096460251073))"
5,"([143, 198, 206], np.float64(0.7746559706049165))","([143, 198, 206], np.float64(21.281079642547816))"
6,"([13, 82, 209], np.float64(0.2023992286658423))","([13, 82, 209], np.float64(20.038425669312723))"
7,"([94, 158, 178], np.float64(0.30876309585407874))","([94, 158, 178], np.float64(23.308883173951234))"
8,"([67, 81, 128], np.float64(1.0895815848243673))","([67, 81, 128], np.float64(22.19026187546505))"
9,"([17, 107, 175, 198], np.float64(0.7356802064030937))","([17, 107, 175], np.float64(20.006965345090887))"
10,"([80, 87, 233], np.float64(0.32034790485793696))","([80, 87, 233], np.float64(19.437672376347603))"
11,"([8, 23, 169], np.float64(0.618241004999115))","([8, 23, 169], np.float64(21.264590961458453))"
12,"([63, 64, 65], np.float64(0.23320491334925753))","([63, 64, 65], np.float64(22.35800351203528))"
13,"([71, 90, 101], np.float64(0.4014453862016088))","([71, 90, 101], np.float64(21.372271046107503))"
14,"([16, 21, 78], np.float64(0.45001396322333015))","([16, 21, 78], np.float64(21.212607392105426))"
15,"([8, 10, 217], np.float64(0.3745797902794985))","([8, 10, 217], np.float64(21.87438040078873))"
16,"([25, 73, 171], np.float64(1.0918439114868979))","([25, 73, 171], np.float64(20.950159567617806))"
17,"([65, 112, 168], np.float64(0.3497719438241611))","([65, 112, 168], np.float64(22.249182255140013))"
18,"([10, 50, 170, 173], np.float64(1.1280854595051637))","([10, 50, 170], np.float64(22.370991005470117))"
19,"([108, 158, 247], np.float64(1.1726766294104283))","([108, 158, 247], np.float64(21.951205279180094))"
20,"([14, 91, 100], np.float64(0.28359765019589045))","([14, 91, 100], np.float64(23.13920990978506))"
21,"([11, 60, 241], np.float64(0.7142137739615639))","([11, 60, 241], np.float64(19.479222205011517))"
22,"([0, 43, 175], np.float64(0.35890261216901054))","([0, 43, 175], np.float64(19.586055317840895))"
23,"([62, 94, 210], np.float64(0.2961528434514313))","([62, 94, 210], np.float64(22.573569975131758))"
24,"([55, 119, 130], np.float64(0.5957675354262065))","([55, 119, 130], np.float64(22.484984092800893))"
25,"([65, 77, 139], np.float64(0.31380489771425096))","([65, 77, 139], np.float64(20.309370431238772))"
26,"([110, 192, 240], np.float64(0.1568874318172651))","([110, 240], np.float64(21.751422679795112))"
27,"([56, 154, 189], np.float64(0.2929276650656736))","([56, 154, 189], np.float64(20.31726235812869))"
28,"([9, 22, 140], np.float64(0.24850445606837746))","([9, 22, 140], np.float64(21.601555153152272))"
29,"([27, 147, 234], np.float64(0.2780791194827117))","([27, 147, 234], np.float64(21.776665554408982))"
30,"([32, 105, 120], np.float64(0.09614159291437019))","([32, 105, 120], np.float64(21.34332285421995))"
31,"([47, 116, 128], np.float64(1.3603896020212392))","([47, 116, 128], np.float64(22.647235362816843))"
32,"([104, 230, 240], np.float64(0.2718999845678932))","([104, 230, 240], np.float64(20.059596561387497))"
33,"([4, 158, 172], np.float64(0.30306815869403786))","([4, 158, 172], np.float64(21.295440253720198))"
34,"([96, 219, 231], np.float64(0.588786437324261))","([96, 219, 231], np.float64(18.930503572198774))"
35,"([46, 89, 175], np.float64(0.48270281858396485))","([46, 89, 175], np.float64(21.331965490671116))"
36,"([17, 206, 221], np.float64(0.30111308189397473))","([17, 28, 206, 221], np.float64(21.99433490955005))"
37,"([0, 151, 206], np.float64(0.59167946835938))","([0, 151], np.float64(25.129194650178334))"
38,"([60, 63, 236], np.float64(0.6035720318908339))","([60, 63, 236], np.float64(24.313571401942383))"
39,"([44, 108, 110, 190], np.float64(0.26383700724205034))","([108, 110, 190], np.float64(24.25999307390812))"
40,"([27, 46, 75], np.float64(0.04335190483770363))","([27, 46, 75], np.float64(17.81361334110866))"
41,"([49, 97, 218], np.float64(0.12981815025859775))","([49, 97, 218], np.float64(19.81199280282459))"
42,"([17, 83, 118], np.float64(0.45878552355792773))","([17, 83, 118], np.float64(18.850228042071212))"
43,"([59, 107, 215], np.float64(0.564488977785754))","([59, 107, 215], np.float64(22.326420581212137))"
44,"([93, 154, 167], np.float64(0.3568285272332024))","([93, 154], np.float64(25.16149200966279))"
45,"([40, 82, 90], np.float64(0.1766493159220832))","([40, 82, 90], np.float64(22.618584592804194))"
46,"([37, 125, 127], np.float64(0.9384071220282533))","([37, 125, 127], np.float64(21.610998090799626))"
47,"([154, 162, 230], np.float64(1.9700140076759645))","([154, 162, 230], np.float64(24.237227680614634))"
48,"([71, 81, 95], np.float64(0.24790249760160277))","([71, 81, 95], np.float64(23.838176223228388))"
49,"([195, 200, 233], np.float64(0.41525658448104247))","([195, 200, 233], np.float64(20.207177669921897))"
50,"([18, 47, 123], np.float64(0.8321355081234062))","([18, 47, 123], np.float64(20.97179282813293))"
51,"([71, 135, 203], np.float64(0.6684140784145863))","([71, 135, 203], np.float64(22.49471666489918))"
52,"([16, 155, 210], np.float64(0.526603627188678))","([155, 210], np.float64(23.236427303679967))"
53,"([65, 96, 228], np.float64(0.2207177274925823))","([65, 96, 228], np.float64(21.867413666026973))"
54,"([100, 112, 200], np.float64(1.175719178989616))","([100, 112, 200], np.float64(21.02652443566385))"
55,"([0, 191, 243], np.float64(0.7843943332779629))","([0, 243], np.float64(23.55475368868652))"
56,"([4, 152, 221], np.float64(0.552177031937091))","([4, 152, 221], np.float64(21.544196495556022))"
57,"([75, 139, 236], np.float64(0.06594146106171363))","([75, 139, 236], np.float64(19.823146158467768))"
58,"([150, 158, 236], np.float64(0.5600155563374334))","([150, 158, 236], np.float64(21.45801145237229))"
59,"([101, 175, 185], np.float64(0.6003479911118309))","([101, 175, 185], np.float64(22.38924076081931))"
60,"([57, 73, 227], np.float64(0.3636404775001467))","([57, 73, 227], np.float64(20.37464845171223))"
61,"([14, 73, 116], np.float64(0.024036904791309713))","([14, 73], np.float64(23.537984665478852))"
62,"([0, 77, 87], np.float64(0.732792988103127))","([0, 87], np.float64(22.035080668761164))"
63,"([47, 140, 157], np.float64(0.2690814260219315))","([47, 140, 157], np.float64(20.929450728148023))"
64,"([3, 123, 246], np.float64(0.4939456651550814))","([3, 123, 246], np.float64(22.965286824882277))"
65,"([23, 102, 228], np.float64(0.6415897192795695))","([23, 102, 228], np.float64(20.916392441476116))"
66,"([40, 106, 179], np.float64(0.3503598440958408))","([40, 106, 179], np.float64(19.838794710642453))"
67,"([5, 152, 233], np.float64(1.0929126883916076))","([5, 152, 233], np.float64(20.297902051985027))"
68,"([42, 44, 121], np.float64(0.23347375544988258))","([42, 44], np.float64(23.569102153490785))"
69,"([5, 129, 136], np.float64(0.6842463565240099))","([5, 129, 136], np.float64(19.81723136607403))"
70,"([10, 169, 170], np.float64(0.16826411395111707))","([10, 169, 170], np.float64(21.35485328712287))"
71,"([21, 87, 234], np.float64(0.3005892155743426))","([87, 234], np.float64(24.112532182766806))"
72,"([143, 190, 226], np.float64(0.21937341927890783))","([143, 190, 226], np.float64(20.573236322488974))"
73,"([176, 207, 228], np.float64(0.48647857022454755))","([176, 207, 228], np.float64(19.890201029902872))"
74,"([14, 63, 106], np.float64(0.2646550413573159))","([14, 63, 106], np.float64(20.819108953014357))"
75,"([106, 108, 120], np.float64(0.41982868886773617))","([106, 108, 120], np.float64(24.08256348227856))"
76,"([37, 90, 173], np.float64(0.202490676762772))","([37, 90, 173], np.float64(24.017034550754918))"
77,"([184, 207, 244], np.float64(0.3982796432450094))","([184, 207, 244], np.float64(21.377213476382128))"
78,"([144, 149, 160], np.float64(0.7978580875099686))","([144, 149, 160], np.float64(20.311212123057526))"
79,"([144, 241, 249], np.float64(0.47739169869476383))","([144, 241, 249], np.float64(20.385594386364204))"
80,"([21, 119, 218], np.float64(0.6381003325068568))","([21, 119], np.float64(22.758956822596783))"
81,"([32, 73, 98, 214], np.float64(0.38887647943000964))","([32, 98, 214], np.float64(20.75703166615415))"
82,"([103, 118, 148], np.float64(0.19830529819852333))","([103, 118, 148], np.float64(18.57013784823341))"
83,"([122, 127, 200], np.float64(0.7142162737540363))","([122, 127, 200], np.float64(19.69819583408936))"
84,"([82, 151, 197], np.float64(0.1212139237895884))","([82, 151, 197], np.float64(19.248015373991205))"
85,"([57, 142, 240], np.float64(0.37043227559243064))","([57, 142, 240], np.float64(21.03050667221466))"
86,"([10, 33, 73], np.float64(0.4887235956968789))","([10, 33, 73], np.float64(20.592523976559452))"
87,"([18, 96, 124], np.float64(0.19666688529544307))","([18, 96, 124], np.float64(21.160347105622794))"
88,"([25, 134, 181], np.float64(0.38979391604853225))","([25, 134, 181], np.float64(21.072891690136057))"
89,"([48, 129, 182], np.float64(0.31410484299552033))","([48, 129, 182], np.float64(19.444708324021448))"
90,"([78, 171, 221], np.float64(0.24749080923044067))","([78, 171, 221], np.float64(20.185381313363244))"
91,"([1, 5, 184], np.float64(0.22390010370118593))","([1, 5, 184], np.float64(23.92637168632839))"
92,"([0, 90, 117, 221, 228], np.float64(0.18034068947888815))","([90, 117, 228], np.float64(20.759199308900193))"
93,"([16, 115, 235], np.float64(1.8338495670971182))","([16, 115, 235], np.float64(19.90280964587944))"
94,"([32, 57, 191], np.float64(0.52855459527628))","([32, 57, 191], np.float64(21.747316947753454))"
95,"([10, 46, 175], np.float64(0.403885122005591))","([10, 46, 175], np.float64(20.45561912971924))"
96,"([92, 137, 240], np.float64(0.21228866234742777))","([92, 137, 240], np.float64(20.754080287857214))"
97,"([56, 87, 110], np.float64(0.11893995918465756))","([56, 87, 110], np.float64(22.820727859826448))"
98,"([49, 51, 64], np.float64(0.33318578735729704))","([49, 51, 64], np.float64(22.931196805999466))"
99,"([33, 82, 85], np.float64(0.29185477003077187))","([33, 82, 85], np.float64(22.4153646236506))"
