run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([14, 67, 93, 105, 131, 220, 229, 240], np.float64(0.09669487368021151))","([67, 220], np.float64(71.0316036247759))"
1,"([12, 37, 87, 92, 186, 187, 208, 233], np.float64(2.1599957170143247))","([], np.float64(79.92729041255889))"
2,"([3, 9, 40, 45, 119, 133, 156, 216], np.float64(0.1947955947200458))","([45, 133], np.float64(71.16828101963836))"
3,"([8, 21, 23, 58, 103, 133, 140, 231], np.float64(0.12012520600827804))","([133], np.float64(73.33850279787846))"
4,"([15, 31, 62, 132, 170, 203, 243, 247], np.float64(2.464218488468764))","([], np.float64(70.8557840556896))"
5,"([5, 21, 94, 113, 145, 147, 214, 238], np.float64(0.8728855309599913))","([94], np.float64(69.13496135711804))"
6,"([20, 21, 75, 118, 131, 152, 175, 220], np.float64(0.3857171550717267))","([131, 226], np.float64(69.40755429587345))"
7,"([27, 41, 80, 126, 153, 190, 195, 204, 231], np.float64(1.2272198327099508))","([195, 231], np.float64(66.13271534036868))"
8,"([18, 68, 72, 74, 150, 172, 183, 216], np.float64(0.1204910171269233))","([18, 172], np.float64(69.08361861185017))"
9,"([40, 103, 114, 120, 138, 167, 170, 195, 246], np.float64(2.575524746624418))","([120], np.float64(68.36829844533332))"
10,"([14, 19, 47, 100, 125, 137, 217, 237], np.float64(2.0680096554859615))","([100, 125, 198], np.float64(68.1957657925042))"
11,"([42, 50, 130, 135, 160, 212, 224, 230], np.float64(0.2833067286779923))","([212, 224, 230], np.float64(71.11649774102015))"
12,"([16, 17, 20, 68, 127, 208, 244, 245], np.float64(0.21404489414397612))","([17, 68, 244, 245], np.float64(62.780527121976164))"
13,"([59, 63, 140, 173, 182, 193, 200, 235], np.float64(0.5754597891939366))","([173, 182, 235], np.float64(73.16796496083954))"
14,"([6, 22, 37, 95, 102, 107, 129, 178], np.float64(0.4130877712923884))","([6, 95, 102], np.float64(65.19180487630017))"
15,"([0, 70, 111, 128, 144, 168, 177, 208], np.float64(0.5465772160970035))","([70, 144, 168, 222], np.float64(67.14849678390362))"
16,"([1, 67, 122, 124, 134, 138, 152, 198], np.float64(2.316722201353579))","([134, 138], np.float64(73.05294618918168))"
17,"([58, 61, 86, 103, 112, 122, 174, 183], np.float64(1.1106907391279413))","([183], np.float64(70.13230860285502))"
18,"([66, 80, 99, 120, 160, 165, 168, 182, 215], np.float64(2.080030821837522))","([120, 160], np.float64(69.33355407438093))"
19,"([43, 71, 80, 81, 100, 131, 156, 187], np.float64(2.2052383185389925))","([80, 81], np.float64(72.68019046286729))"
20,"([30, 114, 117, 181, 193, 211, 230, 247], np.float64(1.9666234921376426))","([30], np.float64(72.42376190060554))"
21,"([16, 45, 49, 63, 74, 104, 211, 222], np.float64(2.1521366725124524))","([45, 74, 222], np.float64(67.37427983627967))"
22,"([20, 26, 38, 57, 86, 121, 182, 191], np.float64(0.7013064465872705))","([20, 191], np.float64(76.05681852972982))"
23,"([48, 56, 57, 128, 156, 201, 215, 216], np.float64(1.4625737479698149))","([56, 201, 215], np.float64(67.77497010983824))"
24,"([14, 25, 52, 128, 165, 182, 186, 199, 202], np.float64(1.3677000501948173))","([165, 182, 186, 199], np.float64(74.35175495018134))"
25,"([17, 142, 161, 169, 181, 198, 221, 246], np.float64(1.2747810541364786))","([221], np.float64(70.77538920391213))"
26,"([42, 95, 138, 151, 196, 220, 226, 237], np.float64(1.189051000416012))","([196, 226], np.float64(73.7334833100523))"
27,"([66, 67, 68, 85, 93, 127, 147, 249], np.float64(2.265331743297075))","([68], np.float64(73.30682962706236))"
28,"([10, 18, 23, 37, 88, 166, 168, 173], np.float64(1.2125765153827377))","([10, 23, 88], np.float64(70.04067924459581))"
29,"([5, 28, 53, 157, 176, 194, 202, 213], np.float64(0.1553151376577906))","([157, 194, 213], np.float64(70.44157110495064))"
30,"([35, 58, 86, 124, 127, 129, 211, 234], np.float64(2.3207829091060286))","([124, 211], np.float64(69.82389766228725))"
31,"([27, 76, 112, 132, 156, 159, 211, 247], np.float64(0.9547871207514754))","([76, 112], np.float64(72.63644279149389))"
32,"([35, 96, 110, 147, 178, 207, 219, 229], np.float64(0.7751381213916864))","([147, 229], np.float64(68.92336636123038))"
33,"([59, 66, 130, 162, 194, 203, 230, 237], np.float64(2.048586928163548))","([66], np.float64(75.02049633138488))"
34,"([0, 21, 23, 25, 76, 151, 172, 240], np.float64(0.3420386329739408))","([], np.float64(71.79748930413515))"
35,"([58, 62, 69, 132, 143, 153, 191, 248], np.float64(0.8551569916911391))","([143, 153, 191], np.float64(68.24047662036159))"
36,"([97, 108, 135, 162, 169, 176, 192, 238], np.float64(0.5098055695788498))","([135], np.float64(70.44481087189043))"
37,"([34, 43, 52, 57, 104, 153, 166, 228], np.float64(0.7609032657618453))","([], np.float64(72.7975729478344))"
38,"([5, 51, 57, 65, 86, 92, 232, 243], np.float64(0.9499907242426575))","([92, 243], np.float64(70.8141626002474))"
39,"([32, 38, 136, 141, 156, 161, 182, 241], np.float64(2.86032876797948))","([38, 161], np.float64(70.55989791720116))"
40,"([59, 116, 121, 180, 214, 219, 233, 237], np.float64(4.477628855916629))","([121, 219], np.float64(73.21268336121517))"
41,"([14, 17, 52, 74, 76, 149, 238, 247], np.float64(0.32235372499287124))","([14, 247], np.float64(67.75837020875665))"
42,"([65, 93, 107, 128, 132, 144, 224, 236], np.float64(1.3979004877371566))","([65, 93], np.float64(67.65519309211155))"
43,"([30, 46, 47, 84, 91, 154, 189, 228], np.float64(2.0679214904551153))","([47], np.float64(67.2715015685477))"
44,"([14, 21, 41, 66, 97, 127, 138, 143], np.float64(2.1102113171079466))","([], np.float64(72.74680196164441))"
45,"([38, 39, 66, 101, 143, 215, 216, 233], np.float64(4.250397836326606))","([39, 215], np.float64(78.10796594347444))"
46,"([55, 75, 89, 100, 162, 198, 218, 235], np.float64(0.3394903251890536))","([55, 198], np.float64(70.05073669500156))"
47,"([17, 56, 97, 119, 145, 178, 191, 239], np.float64(2.0311733255872584))","([56, 145], np.float64(69.08581418186874))"
48,"([2, 10, 31, 34, 55, 82, 100, 191], np.float64(0.5036943232240467))","([34], np.float64(69.55538584412248))"
49,"([19, 35, 49, 90, 94, 151, 168, 222, 245], np.float64(1.3026141513616112))","([49, 168, 177], np.float64(74.13136977856333))"
50,"([1, 79, 106, 127, 173, 176, 190, 207], np.float64(2.746823472511289))","([127, 173], np.float64(67.4774364152927))"
51,"([19, 35, 85, 113, 115, 117, 154, 172, 243], np.float64(0.772826102119044))","([19, 117, 243], np.float64(67.488390265055))"
52,"([24, 29, 102, 111, 122, 180, 184, 241], np.float64(1.0472824842445962))","([102, 180], np.float64(72.66863774732649))"
53,"([18, 20, 78, 82, 108, 109, 126, 205], np.float64(2.9936295806388724))","([], np.float64(78.76075885778545))"
54,"([28, 66, 73, 75, 84, 136, 162, 198], np.float64(0.7905649999661477))","([75, 198], np.float64(69.30185314826429))"
55,"([31, 52, 100, 118, 144, 154, 203, 208], np.float64(0.6976954867962527))","([154], np.float64(70.12567922553878))"
56,"([5, 11, 22, 62, 75, 224, 225, 244], np.float64(4.890270875267282))","([], np.float64(73.9051333656134))"
57,"([24, 65, 76, 78, 91, 135, 179, 184], np.float64(1.430416765403723))","([], np.float64(72.54069316686005))"
58,"([24, 29, 46, 72, 85, 116, 213, 214], np.float64(0.3065446516440286))","([72, 213, 214], np.float64(67.04593957837086))"
59,"([44, 58, 62, 101, 156, 161, 166, 234], np.float64(1.025340115458256))","([44, 101, 161], np.float64(67.21406200045962))"
60,"([16, 36, 43, 56, 124, 155, 214, 226], np.float64(1.1908243233788018))","([124, 214], np.float64(65.90631294248716))"
61,"([4, 7, 16, 64, 127, 148, 189, 238], np.float64(1.2022161128044522))","([4], np.float64(67.06234958567613))"
62,"([51, 69, 136, 147, 198, 204, 211, 240], np.float64(0.5624406054057608))","([51, 136, 240], np.float64(68.34183203327186))"
63,"([17, 82, 128, 138, 170, 173, 222, 239], np.float64(0.9998181934755584))","([239], np.float64(66.84990204245018))"
64,"([29, 51, 83, 86, 132, 139, 151, 205, 219], np.float64(0.9222244045703439))","([86, 205], np.float64(77.08514758830246))"
65,"([3, 23, 24, 33, 78, 120, 161, 206], np.float64(0.785054500494375))","([78, 120], np.float64(69.2363040287825))"
66,"([10, 63, 71, 92, 109, 158, 172, 225], np.float64(0.43719109435302006))","([10, 63, 158], np.float64(71.0699832105357))"
67,"([58, 69, 72, 145, 176, 191, 214, 232], np.float64(0.23694223105383735))","([214, 232], np.float64(69.81265775343344))"
68,"([56, 97, 117, 169, 206, 221, 223, 234], np.float64(1.810467158474908))","([56], np.float64(75.24224792854274))"
69,"([21, 72, 107, 108, 200, 219, 226, 248], np.float64(1.7495835760827256))","([72], np.float64(66.40617344517581))"
70,"([24, 67, 116, 139, 164, 174, 223, 243], np.float64(2.061000918764274))","([116, 164], np.float64(68.54408230516835))"
71,"([5, 103, 106, 116, 117, 123, 171, 198], np.float64(1.371795377835866))","([106, 171], np.float64(66.82313515913174))"
72,"([8, 17, 19, 127, 132, 165, 194, 225], np.float64(4.023103816096075))","([165, 194, 225], np.float64(67.28373736148504))"
73,"([5, 23, 69, 70, 118, 119, 192, 245], np.float64(1.4692128621246625))","([23, 245], np.float64(67.75628996641977))"
74,"([64, 75, 81, 144, 169, 192, 205, 231], np.float64(2.0794679724820107))","([64, 169], np.float64(69.87586583855116))"
75,"([74, 77, 79, 84, 85, 90, 107, 207], np.float64(3.951019370442855))","([77, 79, 90], np.float64(69.23710569926381))"
76,"([7, 73, 99, 118, 207, 209, 230, 241], np.float64(0.14304058384481044))","([73, 118], np.float64(71.87330268450957))"
77,"([50, 104, 125, 144, 154, 164, 205, 246], np.float64(2.530773587560025))","([154], np.float64(75.46274414236258))"
78,"([47, 62, 81, 126, 153, 165, 170, 183], np.float64(1.1322101379465088))","([165], np.float64(79.02417043252048))"
79,"([20, 45, 94, 103, 134, 158, 198, 233], np.float64(1.003323051234777))","([158], np.float64(75.25680377776654))"
80,"([30, 57, 83, 114, 121, 167, 176, 229], np.float64(1.9061635534424435))","([83], np.float64(75.04652409726287))"
81,"([6, 32, 70, 93, 113, 146, 175, 194], np.float64(0.38623188893205324))","([], np.float64(71.30944128043832))"
82,"([68, 86, 99, 108, 115, 120, 140, 199], np.float64(2.410740668535099))","([120], np.float64(78.83341304178525))"
83,"([55, 57, 69, 80, 91, 92, 198, 249], np.float64(1.007146385484301))","([80], np.float64(76.81368905173184))"
84,"([3, 52, 121, 148, 160, 197, 222, 223], np.float64(0.4357002180422761))","([77, 222], np.float64(74.00707870802268))"
85,"([22, 59, 61, 63, 147, 153, 208, 239], np.float64(0.4237875397304828))","([], np.float64(67.27714483960179))"
86,"([89, 105, 129, 144, 149, 184, 210, 231], np.float64(0.6956794814783659))","([149], np.float64(69.8582374717877))"
87,"([3, 25, 32, 58, 67, 117, 131, 133, 215], np.float64(0.5894423955640995))","([32, 51], np.float64(66.89375927529609))"
88,"([0, 51, 78, 127, 142, 156, 157, 229], np.float64(0.9537716305236329))","([142], np.float64(72.50528503182431))"
89,"([25, 41, 85, 118, 136, 163, 225, 230], np.float64(1.1494652695925107))","([230], np.float64(74.39915694475478))"
90,"([23, 36, 122, 158, 180, 210, 214, 219], np.float64(0.3405071177836961))","([122], np.float64(67.9879104700392))"
91,"([13, 14, 62, 108, 159, 166, 184, 193], np.float64(2.499550249243939))","([184], np.float64(74.02608190698099))"
92,"([15, 19, 36, 55, 100, 107, 150, 172], np.float64(1.6655035622312684))","([107], np.float64(74.87437377082122))"
93,"([43, 83, 117, 119, 151, 213, 218, 238], np.float64(0.6557984677969784))","([112, 218], np.float64(75.5028015282036))"
