run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([11, 59, 74, 88, 90, 101, 107, 149, 156, 159, 177, 230, 234], np.float64(28.30301649385728))","([177], np.float64(133.00901717675652))"
1,"([11, 15, 52, 66, 82, 113, 133, 193, 220, 221, 227, 228, 236, 240], np.float64(1.9694549486773127))","([227], np.float64(127.61553335464143))"
2,"([14, 19, 27, 39, 67, 73, 95, 133, 156, 186, 204, 230, 235, 242], np.float64(9.462431054742558))","([14, 133], np.float64(127.09237719393545))"
3,"([3, 4, 8, 42, 58, 60, 100, 101, 108, 143, 173, 175, 212, 230], np.float64(2.7366820442602857))","([], np.float64(137.64081294610577))"
4,"([25, 26, 41, 48, 106, 107, 130, 154, 169, 171, 176, 196, 204, 214, 218, 223], np.float64(27.445734652933076))","([130], np.float64(125.23143295311276))"
5,"([23, 33, 52, 58, 70, 79, 128, 166, 196, 203, 226, 245], np.float64(80.60028439860868))","([52, 196, 226, 245], np.float64(121.07823335103339))"
6,"([6, 8, 22, 54, 57, 64, 79, 97, 126, 169, 186, 189, 212, 249], np.float64(0.577707277593335))","([], np.float64(130.21354975827663))"
7,"([23, 61, 68, 71, 98, 105, 108, 148, 157, 183, 191, 200, 223, 228], np.float64(2.223874476156203))","([105, 148], np.float64(132.60820297091485))"
8,"([3, 56, 57, 62, 67, 73, 74, 92, 102, 110, 130, 175, 199, 209], np.float64(1.1827373874340306))","([], np.float64(129.54648655771825))"
9,"([22, 34, 47, 63, 72, 115, 145, 159, 179, 180, 187, 189, 200, 207, 246], np.float64(69.43069540988354))","([115, 180], np.float64(125.99601281764832))"
10,"([49, 56, 78, 86, 114, 129, 186, 201, 225, 244, 245, 246, 249], np.float64(104.97677127835166))","([], np.float64(130.46032680799377))"
11,"([2, 10, 17, 28, 65, 70, 73, 118, 123, 126, 138, 168, 169, 178, 226, 234], np.float64(75.08101358380522))","([2, 118, 123], np.float64(128.24687977835612))"
12,"([3, 4, 9, 12, 26, 67, 87, 95, 100, 135, 144, 155, 174], np.float64(61.96496175489071))","([4, 26], np.float64(125.31943613432037))"
13,"([2, 33, 45, 85, 88, 104, 110, 117, 181, 195, 217, 220, 231, 248], np.float64(0.5828097245185527))","([], np.float64(126.83587043624368))"
14,"([12, 15, 33, 70, 111, 154, 163, 170, 183, 188, 198, 199, 207, 233], np.float64(6.955118150168925))","([154], np.float64(120.51383551928936))"
15,"([25, 35, 41, 45, 82, 92, 99, 102, 123, 126, 128, 145, 146, 165, 174, 178, 197, 223, 228], np.float64(49.80466600787222))","([99], np.float64(125.71154905890539))"
16,"([2, 4, 10, 31, 49, 68, 95, 108, 114, 125, 159, 167, 198, 222], np.float64(1.2463285503563357))","([198], np.float64(136.67630250502245))"
17,"([4, 10, 17, 27, 36, 58, 83, 125, 140, 141, 157, 225, 232, 240], np.float64(0.8382936308010623))","([17], np.float64(122.67746538309525))"
18,"([43, 61, 70, 117, 134, 147, 184, 189, 222, 223, 233], np.float64(154.167788291756))","([], np.float64(123.55559585606149))"
19,"([12, 32, 52, 71, 90, 100, 109, 123, 125, 144, 160, 209, 213, 220], np.float64(3.847664207769573))","([], np.float64(124.39598135003497))"
20,"([8, 13, 19, 24, 50, 83, 111, 113, 120, 131, 142, 215, 243, 248], np.float64(3.856221703775448))","([], np.float64(126.60990937976257))"
21,"([47, 51, 55, 56, 67, 77, 97, 127, 136, 137, 140, 207, 220, 235], np.float64(3.7145539420680755))","([], np.float64(134.68406532128174))"
22,"([14, 47, 51, 55, 87, 102, 117, 131, 147, 161, 165, 211, 218, 221], np.float64(100.78002445445853))","([47, 117], np.float64(128.6441010524752))"
23,"([0, 68, 82, 91, 100, 127, 141, 152, 163, 190, 198, 200, 202, 203, 216], np.float64(132.34740232742047))","([100, 190], np.float64(112.05352211234182))"
24,"([2, 32, 38, 52, 78, 111, 123, 127, 142, 147, 164, 169, 217, 238], np.float64(1.2435561083053677))","([], np.float64(130.56701567844254))"
25,"([26, 30, 32, 49, 83, 102, 153, 157, 166, 170, 178, 186, 210, 212, 230], np.float64(0.38757467460817896))","([157, 230], np.float64(122.52834998916026))"
26,"([2, 8, 10, 24, 50, 54, 74, 126, 143, 170, 176, 177, 217, 245, 246], np.float64(3.063477500660397))","([], np.float64(128.45545584507047))"
27,"([71, 90, 95, 107, 129, 131, 146, 152, 180, 183, 204, 205, 212, 225], np.float64(1.9904425052368206))","([], np.float64(135.68318859043262))"
28,"([4, 6, 9, 53, 72, 82, 99, 105, 125, 132, 161, 201, 224, 226], np.float64(1.8928730357952508))","([99, 201], np.float64(114.53229374122499))"
29,"([16, 26, 94, 119, 125, 135, 157, 162, 164, 167, 197, 203, 217, 236], np.float64(114.83733809909077))","([], np.float64(116.87968375522954))"
30,"([19, 53, 89, 92, 111, 126, 175, 185, 191, 194, 228, 239], np.float64(100.42506306589937))","([], np.float64(138.26164663846404))"
31,"([0, 59, 73, 95, 105, 112, 129, 141, 173, 180, 185, 236, 243, 249], np.float64(17.131420238007113))","([], np.float64(139.53899261219834))"
32,"([38, 46, 109, 132, 142, 143, 158, 160, 175, 202, 203, 212, 220, 233, 240], np.float64(3.6170854121730738))","([], np.float64(113.69285706801745))"
33,"([14, 44, 46, 58, 66, 89, 116, 130, 143, 171], np.float64(107.28415853761247))","([14], np.float64(118.93124465901512))"
34,"([59, 79, 108, 109, 117, 122, 127, 128, 179, 185, 202, 229, 233, 245, 246], np.float64(51.37591995155476))","([], np.float64(130.51270486942693))"
35,"([12, 23, 33, 51, 52, 110, 118, 132, 148, 149, 160, 197], np.float64(111.61922785795635))","([], np.float64(129.28173773242656))"
36,"([33, 35, 42, 53, 58, 70, 86, 88, 112, 116, 118, 147, 173, 181], np.float64(4.501294071558781))","([], np.float64(133.2267658049779))"
37,"([30, 36, 46, 64, 92, 96, 108, 139, 146, 151, 197, 218, 228, 244], np.float64(0.7975575641563705))","([], np.float64(128.21604178265036))"
38,"([7, 15, 24, 30, 57, 65, 67, 68, 87, 137, 160, 185, 209, 222], np.float64(2.9221580443565354))","([7], np.float64(135.6316536069069))"
39,"([7, 15, 37, 38, 76, 98, 123, 128, 131, 160, 170, 180, 194, 243], np.float64(1.1861581537506154))","([], np.float64(131.51593932669286))"
40,"([3, 5, 6, 33, 41, 87, 118, 135, 149, 157, 167, 206, 218, 219, 222], np.float64(33.27986102240902))","([], np.float64(126.7021293320129))"
41,"([35, 40, 63, 141, 158, 188, 191, 193, 200, 203, 209, 210, 235, 237], np.float64(0.7415097500194384))","([], np.float64(127.30860972649917))"
42,"([8, 15, 35, 50, 78, 85, 90, 94, 111, 131, 138, 157, 180, 196, 206, 211, 227], np.float64(70.36896722607736))","([94, 206], np.float64(122.78362986320887))"
43,"([24, 34, 40, 47, 78, 100, 105, 118, 141, 172, 212, 214, 220, 243], np.float64(0.9794131202699868))","([105], np.float64(123.87150435695644))"
44,"([6, 48, 60, 82, 100, 107, 124, 142, 192, 206, 221, 232, 245, 246], np.float64(0.5944858457366676))","([192], np.float64(126.87546409252742))"
45,"([3, 28, 52, 67, 78, 98, 105, 109, 118, 134, 155, 159, 166, 169], np.float64(99.7903837302168))","([134], np.float64(116.76444008377447))"
46,"([7, 49, 56, 61, 68, 75, 77, 98, 101, 102, 115, 128, 131, 166, 191, 201, 235], np.float64(70.85013529855544))","([77], np.float64(130.16043640964787))"
47,"([49, 54, 96, 101, 102, 117, 129, 178, 189, 197, 209, 218, 234, 248], np.float64(2.2707784283359773))","([49], np.float64(123.09971356230162))"
48,"([11, 17, 20, 35, 37, 46, 83, 102, 148, 161, 193, 223, 224, 239], np.float64(2.952740003368519))","([224], np.float64(119.75548793807717))"
49,"([53, 56, 83, 85, 105, 109, 147, 160, 212, 224, 229, 230, 232], np.float64(94.15474179832125))","([53, 212], np.float64(127.89178853183589))"
50,"([16, 20, 79, 88, 89, 104, 124, 138, 150, 188, 196, 205, 241], np.float64(59.71618061042772))","([], np.float64(130.23612464099452))"
51,"([16, 20, 21, 92, 99, 103, 104, 121, 141, 155, 186, 191, 211, 213], np.float64(0.6919551014405779))","([121], np.float64(124.48574252580583))"
52,"([0, 32, 54, 59, 98, 133, 140, 164, 168, 177, 197, 201, 203, 229, 238], np.float64(3.07782750010182))","([140, 168], np.float64(126.18324116320942))"
53,"([20, 24, 51, 52, 60, 92, 101, 109, 115, 199], np.float64(105.6043787163469))","([52], np.float64(122.4591776847347))"
54,"([3, 8, 29, 54, 106, 112, 121, 128, 140, 174, 211, 229, 231, 239], np.float64(4.119355139233516))","([229], np.float64(127.71998360480653))"
55,"([3, 10, 16, 27, 44, 61, 92, 101, 118, 122, 138, 139, 179, 229], np.float64(1.7412836187218992))","([], np.float64(127.17077308153671))"
56,"([9, 48, 71, 77, 80, 81, 115, 125, 136, 140, 156, 179, 188, 189], np.float64(2.0638950838415084))","([9, 48], np.float64(128.1323573645193))"
