run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([6, 13, 27, 42, 50, 56, 63, 70, 74, 95, 109, 110, 113, 114, 120, 132, 161, 173, 180, 183, 186, 190, 192, 203, 204, 213, 227, 237, 238, 240, 248], np.float64(244.5158228186336))","([], np.float64(266.9448280417114))"
1,"([1, 24, 26, 32, 38, 51, 58, 63, 77, 78, 80, 88, 105, 111, 112, 120, 130, 149, 153, 158, 192, 194, 197, 198, 201, 215, 217, 219, 224, 248], np.float64(143.6669986317422))","([80], np.float64(262.6521686414545))"
2,"([2, 18, 24, 63, 76, 77, 98, 100, 112, 123, 129, 131, 166, 168, 169, 188, 193, 203, 211, 213, 218, 225, 228, 230, 233, 239, 247], np.float64(224.37173167284584))","([], np.float64(259.6455451296092))"
3,"([2, 9, 13, 20, 23, 25, 38, 48, 55, 57, 60, 74, 113, 117, 147, 168, 178, 181, 197, 211, 219, 244], np.float64(269.8156198790163))","([74], np.float64(287.7939560246635))"
4,"([2, 15, 21, 23, 30, 42, 59, 83, 94, 106, 108, 120, 126, 140, 145, 175, 183, 206, 211, 229, 239, 244], np.float64(268.7903169502402))","([], np.float64(277.19654892810445))"
5,"([3, 19, 51, 63, 67, 91, 101, 104, 113, 127, 131, 141, 164, 181, 183, 184, 186, 196, 200, 221, 232, 236, 241, 244], np.float64(258.36403668867945))","([127], np.float64(278.80374392311563))"
6,"([0, 5, 12, 20, 31, 35, 48, 57, 61, 87, 101, 103, 119, 122, 133, 135, 138, 142, 146, 148, 155, 161, 164, 168, 175, 180, 184, 195, 217, 226, 234, 235, 240, 241, 244], np.float64(169.11475171342312))","([155, 226], np.float64(288.65840176973927))"
7,"([8, 20, 22, 33, 46, 58, 67, 74, 88, 131, 144, 147, 149, 155, 173, 182, 183, 194, 200, 202, 208, 219, 225, 234, 245], np.float64(178.5563463157788))","([], np.float64(269.6496800534696))"
8,"([23, 32, 39, 46, 48, 53, 85, 98, 104, 114, 118, 123, 130, 133, 152, 153, 161, 170, 178, 180, 182, 190, 211, 226, 235, 241, 243], np.float64(201.70807578567369))","([235], np.float64(279.12718045877665))"
9,"([13, 23, 41, 58, 64, 78, 79, 87, 128, 137, 141, 149, 153, 162, 170, 203, 214, 231, 232, 235], np.float64(266.35559156619524))","([], np.float64(256.151593152448))"
10,"([0, 2, 11, 20, 51, 55, 97, 114, 131, 169, 179, 182, 196, 222, 227, 229, 246], np.float64(274.4150410306989))","([], np.float64(260.16211097038257))"
11,"([0, 6, 8, 11, 28, 60, 66, 77, 84, 89, 93, 120, 141, 145, 153, 156, 161, 177, 185, 233, 236], np.float64(175.5439012950781))","([233], np.float64(264.1153352763234))"
12,"([10, 20, 37, 38, 49, 69, 101, 110, 123, 147, 158, 164, 166, 170, 182, 193, 196, 199, 206, 220, 229, 231, 236, 241], np.float64(249.45808936945983))","([10], np.float64(266.91771031496086))"
13,"([6, 8, 24, 31, 33, 52, 99, 108, 123, 126, 162, 166, 167, 180, 188, 223, 229, 242, 243, 247], np.float64(242.33742063166102))","([247], np.float64(263.09277858941294))"
14,"([5, 7, 23, 41, 56, 76, 81, 86, 97, 109, 136, 145, 146, 149, 156, 158, 164, 184, 189, 199, 207, 209, 211, 227, 233], np.float64(280.79567841551176))","([97], np.float64(262.25609535268825))"
