run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(1), np.int64(4), np.int64(9), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(20), np.int64(27), np.int64(30), np.int64(42), np.int64(44)], np.float64(3.842339478369292))","([], np.float64(632.0860028798974))","([], np.float64(632.0860028798974))","([np.int64(9), np.int64(12), np.int64(15), np.int64(20), np.int64(32)], np.float64(41.87889440789202))","([np.int64(9), np.int64(12), np.int64(15), np.int64(20)], np.float64(25.92909453319669))"
1,"([np.int64(2), np.int64(8), np.int64(12), np.int64(18), np.int64(20), np.int64(28), np.int64(30), np.int64(32), np.int64(36), np.int64(38), np.int64(44), np.int64(45), np.int64(49)], np.float64(8.112139704128241))","([], np.float64(657.0869718980925))","([], np.float64(657.0869718980925))","([np.int64(12), np.int64(20), np.int64(24), np.int64(30), np.int64(36), np.int64(42), np.int64(44)], np.float64(47.26560750098188))","([np.int64(20), np.int64(30), np.int64(36), np.int64(44)], np.float64(22.505361188939865))"
2,"([np.int64(2), np.int64(6), np.int64(8), np.int64(11), np.int64(12), np.int64(16), np.int64(23), np.int64(24), np.int64(25), np.int64(27), np.int64(30), np.int64(38), np.int64(39), np.int64(42), np.int64(44), np.int64(47), np.int64(49)], np.float64(5.717534153405668))","([], np.float64(671.0327452758463))","([], np.float64(671.0327452758463))","([np.int64(2), np.int64(12), np.int64(24), np.int64(38)], np.float64(34.826179817201805))","([np.int64(2), np.int64(12), np.int64(24), np.int64(38), np.int64(40)], np.float64(25.31597915791959))"
3,"([np.int64(3), np.int64(4), np.int64(15), np.int64(23), np.int64(32), np.int64(46)], np.float64(2.6943090158263887))","([np.int64(16)], np.float64(669.5165110903087))","([], np.float64(668.5962954438721))","([np.int64(15), np.int64(23), np.int64(32), np.int64(46), np.int64(48)], np.float64(35.49896668511377))","([np.int64(15), np.int64(23), np.int64(32), np.int64(36), np.int64(46)], np.float64(21.701507077029813))"
4,"([np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(29), np.int64(30), np.int64(31), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(45), np.int64(46), np.int64(47), np.int64(48), np.int64(49)], np.float64(15.766866011275646))","([], np.float64(673.7413077754833))","([], np.float64(673.7413077754833))","([np.int64(1), np.int64(4), np.int64(15), np.int64(35), np.int64(37), np.int64(39)], np.float64(38.90388728632038))","([np.int64(1), np.int64(4), np.int64(35), np.int64(39)], np.float64(21.804690155475082))"
5,"([np.int64(3), np.int64(5), np.int64(14), np.int64(16), np.int64(21), np.int64(23), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(36), np.int64(45)], np.float64(5.7796498227819))","([], np.float64(642.1124221850915))","([], np.float64(642.1124221850915))","([np.int64(3), np.int64(5), np.int64(10), np.int64(16), np.int64(20), np.int64(35)], np.float64(39.44689996738886))","([np.int64(3), np.int64(5), np.int64(16), np.int64(35)], np.float64(19.418886324406678))"
6,"([np.int64(3), np.int64(9), np.int64(10), np.int64(12), np.int64(16), np.int64(17), np.int64(19), np.int64(21), np.int64(23), np.int64(25), np.int64(27), np.int64(31), np.int64(32), np.int64(35)], np.float64(5.233512198955536))","([np.int64(19), np.int64(27)], np.float64(647.3485957473498))","([], np.float64(644.4921550370372))","([np.int64(10), np.int64(16), np.int64(31), np.int64(35)], np.float64(35.61214124084822))","([np.int64(10), np.int64(16), np.int64(31), np.int64(35)], np.float64(20.505943335176774))"
7,"([np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(11), np.int64(14), np.int64(15), np.int64(17), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(27), np.int64(28), np.int64(32), np.int64(35), np.int64(36), np.int64(37), np.int64(41), np.int64(45), np.int64(46), np.int64(47)], np.float64(7.133447406141182))","([], np.float64(671.0697193092965))","([], np.float64(671.0697193092965))","([np.int64(0), np.int64(2), np.int64(15), np.int64(16), np.int64(22), np.int64(35)], np.float64(46.46138042426729))","([np.int64(0), np.int64(2), np.int64(15), np.int64(35), np.int64(36)], np.float64(29.909641215464056))"
8,"([np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(16), np.int64(19), np.int64(21), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(33), np.int64(34), np.int64(36), np.int64(43), np.int64(46), np.int64(48)], np.float64(7.7370717608008865))","([np.int64(29)], np.float64(660.7224847579336))","([np.int64(29)], np.float64(655.8181266486134))","([np.int64(1), np.int64(7), np.int64(8), np.int64(29), np.int64(33)], np.float64(42.40172818037226))","([np.int64(1), np.int64(7), np.int64(29), np.int64(33), np.int64(49)], np.float64(26.737080810953266))"
9,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(14), np.int64(19), np.int64(21), np.int64(22), np.int64(26), np.int64(27), np.int64(31), np.int64(32), np.int64(34), np.int64(40), np.int64(42), np.int64(45), np.int64(47), np.int64(49)], np.float64(5.595433609440976))","([np.int64(18), np.int64(22)], np.float64(643.9861415176129))","([], np.float64(637.1221576842414))","([np.int64(6), np.int64(21), np.int64(27), np.int64(40), np.int64(45), np.int64(47)], np.float64(42.54333305403926))","([np.int64(21), np.int64(40), np.int64(45), np.int64(47)], np.float64(21.308897071566623))"
