run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(20), np.int64(21), np.int64(26), np.int64(28), np.int64(30), np.int64(31), np.int64(32), np.int64(38), np.int64(39), np.int64(41), np.int64(42), np.int64(46)], np.float64(56.99322192684809))","([np.int64(5)], np.float64(2226.7074818097826))","([], np.float64(2215.090779447486))","([np.int64(0), np.int64(5), np.int64(7), np.int64(8), np.int64(20), np.int64(21), np.int64(31), np.int64(41)], np.float64(135.49992079866684))","([np.int64(5), np.int64(7), np.int64(8), np.int64(20), np.int64(21), np.int64(31), np.int64(41)], np.float64(132.2050926589419))"
1,"([np.int64(0), np.int64(1), np.int64(2), np.int64(5), np.int64(8), np.int64(11), np.int64(13), np.int64(15), np.int64(18), np.int64(21), np.int64(25), np.int64(26), np.int64(38), np.int64(42), np.int64(43), np.int64(47), np.int64(48), np.int64(49)], np.float64(96.36354258353447))","([], np.float64(2409.3095184108984))","([], np.float64(2409.3095184108984))","([np.int64(2), np.int64(6), np.int64(18), np.int64(21), np.int64(26), np.int64(38), np.int64(42), np.int64(43), np.int64(48)], np.float64(150.769931242669))","([np.int64(26), np.int64(38), np.int64(42), np.int64(43), np.int64(48)], np.float64(208.03764059349388))"
2,"([np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(13), np.int64(14), np.int64(16), np.int64(20), np.int64(25), np.int64(29), np.int64(33), np.int64(36), np.int64(40), np.int64(42), np.int64(45), np.int64(48), np.int64(49)], np.float64(68.88254591741655))","([np.int64(36), np.int64(40)], np.float64(2356.5109649139567))","([], np.float64(2357.9222685573754))","([np.int64(1), np.int64(7), np.int64(13), np.int64(14), np.int64(16), np.int64(29), np.int64(42), np.int64(45), np.int64(49)], np.float64(146.90335809623986))","([np.int64(7), np.int64(14), np.int64(29), np.int64(42), np.int64(45), np.int64(49)], np.float64(154.39885361280793))"
3,"([np.int64(1), np.int64(3), np.int64(12), np.int64(13), np.int64(16), np.int64(20), np.int64(21), np.int64(23), np.int64(30), np.int64(31), np.int64(33), np.int64(34), np.int64(35), np.int64(37), np.int64(38), np.int64(40), np.int64(41), np.int64(43), np.int64(45), np.int64(47)], np.float64(67.00979278614936))","([np.int64(13), np.int64(20)], np.float64(2326.524839570754))","([], np.float64(2311.816224051189))","([np.int64(1), np.int64(3), np.int64(13), np.int64(20), np.int64(24), np.int64(28), np.int64(33), np.int64(35), np.int64(38), np.int64(41), np.int64(43), np.int64(45)], np.float64(157.13959639679254))","([np.int64(13), np.int64(20), np.int64(33), np.int64(41), np.int64(43), np.int64(45)], np.float64(156.11568942704272))"
4,"([np.int64(0), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(18), np.int64(21), np.int64(25), np.int64(27), np.int64(28), np.int64(31), np.int64(33), np.int64(35), np.int64(36), np.int64(41), np.int64(43), np.int64(45), np.int64(46)], np.float64(78.17076064118015))","([np.int64(0)], np.float64(2325.2647207810382))","([], np.float64(2322.799870615296))","([np.int64(3), np.int64(6), np.int64(7), np.int64(28), np.int64(35), np.int64(36), np.int64(41), np.int64(45), np.int64(46)], np.float64(145.08353375456463))","([np.int64(3), np.int64(6), np.int64(7), np.int64(35), np.int64(36), np.int64(41), np.int64(45), np.int64(46)], np.float64(102.15389371418179))"
5,"([np.int64(0), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(20), np.int64(22), np.int64(24), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(35), np.int64(36), np.int64(40), np.int64(41), np.int64(43), np.int64(45), np.int64(46), np.int64(48), np.int64(49)], np.float64(70.8464653155377))","([np.int64(22)], np.float64(2293.8275797484557))","([], np.float64(2296.1034519470923))","([np.int64(0), np.int64(5), np.int64(10), np.int64(20), np.int64(26), np.int64(29), np.int64(31), np.int64(32), np.int64(35)], np.float64(139.36266649043424))","([np.int64(26), np.int64(29), np.int64(31), np.int64(32), np.int64(35)], np.float64(184.35970972629312))"
6,"([np.int64(4), np.int64(13), np.int64(16), np.int64(20), np.int64(28), np.int64(32), np.int64(35), np.int64(38), np.int64(41), np.int64(43), np.int64(46), np.int64(47)], np.float64(123.36548695129969))","([np.int64(35), np.int64(47)], np.float64(2332.850945603688))","([], np.float64(2321.0914637289943))","([np.int64(4), np.int64(9), np.int64(10), np.int64(13), np.int64(16), np.int64(20), np.int64(32), np.int64(43), np.int64(47)], np.float64(140.96315087908263))","([np.int64(9), np.int64(10), np.int64(13), np.int64(16), np.int64(20), np.int64(32), np.int64(47)], np.float64(146.8127947417852))"
7,"([np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(16), np.int64(20), np.int64(22), np.int64(23), np.int64(26), np.int64(27), np.int64(33), np.int64(34), np.int64(36), np.int64(40), np.int64(45), np.int64(46), np.int64(47)], np.float64(130.0013009249207))","([np.int64(22)], np.float64(2255.2892527321605))","([], np.float64(2250.711755731885))","([np.int64(8), np.int64(21), np.int64(26), np.int64(27), np.int64(33), np.int64(36), np.int64(40), np.int64(47)], np.float64(149.73320841679063))","([np.int64(21), np.int64(26), np.int64(27), np.int64(33), np.int64(36), np.int64(40), np.int64(47)], np.float64(141.54263334851566))"
8,"([np.int64(0), np.int64(1), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(12), np.int64(13), np.int64(16), np.int64(18), np.int64(19), np.int64(22), np.int64(24), np.int64(26), np.int64(30), np.int64(32), np.int64(35), np.int64(40), np.int64(42), np.int64(44), np.int64(45), np.int64(48)], np.float64(68.34872468652222))","([], np.float64(2361.5087873547086))","([], np.float64(2361.5087873547086))","([np.int64(4), np.int64(8), np.int64(18), np.int64(22), np.int64(30), np.int64(32), np.int64(35), np.int64(44), np.int64(45)], np.float64(140.34793839345357))","([np.int64(8), np.int64(22), np.int64(30), np.int64(32), np.int64(35), np.int64(44), np.int64(45)], np.float64(143.6119158709205))"
9,"([np.int64(1), np.int64(7), np.int64(8), np.int64(9), np.int64(12), np.int64(13), np.int64(17), np.int64(19), np.int64(20), np.int64(24), np.int64(28), np.int64(32), np.int64(35), np.int64(36), np.int64(39), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46)], np.float64(70.78525211721492))","([np.int64(7), np.int64(13)], np.float64(2274.5338427220554))","([], np.float64(2258.351678465201))","([np.int64(7), np.int64(9), np.int64(13), np.int64(17), np.int64(20), np.int64(36), np.int64(41), np.int64(43), np.int64(44)], np.float64(154.34388070417143))","([np.int64(13), np.int64(20), np.int64(36), np.int64(41), np.int64(43), np.int64(44)], np.float64(185.86830806963246))"
