run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(0), np.int64(4), np.int64(5), np.int64(9), np.int64(18), np.int64(21), np.int64(27), np.int64(29), np.int64(30), np.int64(33), np.int64(34), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(48)], np.float64(38.527039444287574))","([np.int64(48)], np.float64(1364.0368282630957))","([], np.float64(1363.424908424965))","([np.int64(4), np.int64(5), np.int64(18), np.int64(27), np.int64(29), np.int64(38), np.int64(39), np.int64(40)], np.float64(83.70979702171965))","([np.int64(4), np.int64(5), np.int64(18), np.int64(29), np.int64(38), np.int64(40)], np.float64(61.49553349076328))"
1,"([np.int64(0), np.int64(7), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(17), np.int64(22), np.int64(28), np.int64(30), np.int64(31), np.int64(38), np.int64(39), np.int64(41), np.int64(42), np.int64(45), np.int64(47)], np.float64(45.11938155023612))","([], np.float64(1303.2679699298521))","([], np.float64(1303.2679699298521))","([np.int64(0), np.int64(7), np.int64(9), np.int64(17), np.int64(21), np.int64(24), np.int64(38), np.int64(39), np.int64(45), np.int64(47)], np.float64(105.7424823806774))","([np.int64(7), np.int64(9), np.int64(39), np.int64(45), np.int64(47)], np.float64(107.53759840881737))"
2,"([np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(12), np.int64(14), np.int64(18), np.int64(19), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(33), np.int64(36), np.int64(37), np.int64(38), np.int64(41), np.int64(42), np.int64(44), np.int64(45), np.int64(48), np.int64(49)], np.float64(41.63691822053182))","([], np.float64(1436.0465720838579))","([], np.float64(1436.0465720838579))","([np.int64(12), np.int64(26), np.int64(33), np.int64(36), np.int64(37), np.int64(44), np.int64(49)], np.float64(93.21065221266265))","([np.int64(12), np.int64(26), np.int64(33), np.int64(36), np.int64(37), np.int64(44)], np.float64(58.45859331403104))"
3,"([np.int64(2), np.int64(4), np.int64(8), np.int64(9), np.int64(11), np.int64(14), np.int64(16), np.int64(20), np.int64(24), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(33), np.int64(40), np.int64(43), np.int64(46), np.int64(48), np.int64(49)], np.float64(49.0716649974662))","([np.int64(40)], np.float64(1351.2914153808601))","([], np.float64(1349.8253496914585))","([np.int64(8), np.int64(12), np.int64(14), np.int64(29), np.int64(43), np.int64(46), np.int64(49)], np.float64(88.76044386641412))","([np.int64(8), np.int64(14), np.int64(29), np.int64(43), np.int64(46), np.int64(49)], np.float64(57.474230299119554))"
4,"([np.int64(0), np.int64(2), np.int64(9), np.int64(11), np.int64(12), np.int64(16), np.int64(20), np.int64(24), np.int64(37), np.int64(38), np.int64(39), np.int64(44), np.int64(46), np.int64(49)], np.float64(43.437894912048925))","([np.int64(38)], np.float64(1331.790357561423))","([], np.float64(1325.2083796098236))","([np.int64(2), np.int64(11), np.int64(16), np.int64(20), np.int64(37), np.int64(39), np.int64(49)], np.float64(77.2560356905212))","([np.int64(11), np.int64(16), np.int64(20), np.int64(37), np.int64(39), np.int64(49)], np.float64(55.48190106269341))"
5,"([np.int64(3), np.int64(4), np.int64(9), np.int64(13), np.int64(21), np.int64(22), np.int64(26), np.int64(40), np.int64(43), np.int64(45), np.int64(47)], np.float64(50.285148553157995))","([np.int64(4), np.int64(22)], np.float64(1355.52502976736))","([], np.float64(1354.4860775783575))","([np.int64(3), np.int64(4), np.int64(9), np.int64(12), np.int64(14), np.int64(26), np.int64(33), np.int64(40), np.int64(41), np.int64(43), np.int64(45)], np.float64(106.19085522010754))","([np.int64(3), np.int64(9), np.int64(26), np.int64(36), np.int64(40), np.int64(41), np.int64(43), np.int64(45)], np.float64(59.90678106076029))"
6,"([np.int64(1), np.int64(7), np.int64(8), np.int64(11), np.int64(18), np.int64(22), np.int64(25), np.int64(31), np.int64(32), np.int64(37), np.int64(40), np.int64(43), np.int64(47), np.int64(48)], np.float64(58.45536994137113))","([np.int64(43)], np.float64(1398.1122983718335))","([], np.float64(1384.4656132465977))","([np.int64(1), np.int64(22), np.int64(32), np.int64(37), np.int64(40), np.int64(43)], np.float64(95.25339915312408))","([np.int64(1), np.int64(22), np.int64(32), np.int64(37), np.int64(40), np.int64(43)], np.float64(66.21309771435702))"
7,"([np.int64(7), np.int64(9), np.int64(12), np.int64(17), np.int64(19), np.int64(25), np.int64(30), np.int64(31), np.int64(33), np.int64(38), np.int64(39), np.int64(41), np.int64(47), np.int64(48)], np.float64(39.849919903928374))","([np.int64(48)], np.float64(1367.7142482041545))","([np.int64(48)], np.float64(1364.6026622362378))","([np.int64(9), np.int64(17), np.int64(25), np.int64(30), np.int64(38), np.int64(41), np.int64(48)], np.float64(83.8232994506162))","([np.int64(9), np.int64(17), np.int64(25), np.int64(30), np.int64(34), np.int64(38), np.int64(41)], np.float64(65.51734877590332))"
8,"([np.int64(2), np.int64(8), np.int64(9), np.int64(12), np.int64(17), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(31), np.int64(32), np.int64(35), np.int64(37), np.int64(38), np.int64(42), np.int64(44), np.int64(45), np.int64(47), np.int64(48)], np.float64(39.161081140356046))","([np.int64(4), np.int64(23)], np.float64(1312.5465551788477))","([], np.float64(1305.9486980801403))","([np.int64(17), np.int64(21), np.int64(23), np.int64(31), np.int64(32), np.int64(42)], np.float64(80.23553887956578))","([np.int64(17), np.int64(21), np.int64(23), np.int64(31), np.int64(32), np.int64(42)], np.float64(59.0196915604283))"
9,"([np.int64(5), np.int64(9), np.int64(10), np.int64(12), np.int64(22), np.int64(24), np.int64(26), np.int64(27), np.int64(28), np.int64(34), np.int64(37), np.int64(38), np.int64(45), np.int64(49)], np.float64(43.032377904856595))","([], np.float64(1317.9167729890714))","([], np.float64(1317.9167729890714))","([np.int64(5), np.int64(9), np.int64(10), np.int64(27), np.int64(34), np.int64(37), np.int64(45)], np.float64(93.96243452696147))","([np.int64(5), np.int64(9), np.int64(10), np.int64(34), np.int64(37), np.int64(45)], np.float64(62.30218778464515))"
