run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(0), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(12), np.int64(15), np.int64(18), np.int64(19), np.int64(24), np.int64(26), np.int64(27), np.int64(28), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(95.87923825282981))","([np.int64(9)], np.float64(3684.7614202937084))","([], np.float64(3667.800009386097))","([np.int64(0), np.int64(4), np.int64(9), np.int64(11), np.int64(15), np.int64(18), np.int64(19), np.int64(24), np.int64(26), np.int64(35), np.int64(46)], np.float64(212.2071267091276))","([np.int64(15), np.int64(18), np.int64(19), np.int64(24), np.int64(26), np.int64(35), np.int64(46)], np.float64(218.15594266060413))"
1,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(15), np.int64(16), np.int64(20), np.int64(21), np.int64(22), np.int64(24), np.int64(27), np.int64(28), np.int64(37), np.int64(38), np.int64(40), np.int64(41)], np.float64(163.89117327942918))","([np.int64(15), np.int64(28)], np.float64(3459.1429492972457))","([], np.float64(3457.5388467952744))","([np.int64(0), np.int64(1), np.int64(8), np.int64(10), np.int64(15), np.int64(16), np.int64(33), np.int64(34), np.int64(37), np.int64(40), np.int64(41)], np.float64(230.6542909995882))","([np.int64(16), np.int64(37), np.int64(41)], np.float64(406.92123265634))"
2,"([np.int64(3), np.int64(4), np.int64(8), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(19), np.int64(21), np.int64(22), np.int64(24), np.int64(27), np.int64(28), np.int64(30), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(42), np.int64(44), np.int64(47), np.int64(49)], np.float64(116.9160954941666))","([np.int64(37)], np.float64(3474.682013539015))","([], np.float64(3484.6196992801224))","([np.int64(8), np.int64(13), np.int64(14), np.int64(19), np.int64(21), np.int64(28), np.int64(36), np.int64(37), np.int64(44), np.int64(47), np.int64(49)], np.float64(228.9367282749893))","([np.int64(19), np.int64(21), np.int64(28), np.int64(36), np.int64(37), np.int64(44), np.int64(49)], np.float64(313.6641788177858))"
3,"([np.int64(1), np.int64(2), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(17), np.int64(19), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(42), np.int64(44), np.int64(46), np.int64(49)], np.float64(82.216636309041))","([np.int64(2), np.int64(11)], np.float64(3578.2082179583786))","([], np.float64(3557.0113016440296))","([np.int64(2), np.int64(11), np.int64(13), np.int64(17), np.int64(24), np.int64(35), np.int64(37), np.int64(39), np.int64(46), np.int64(49)], np.float64(207.7600404841953))","([np.int64(11), np.int64(24), np.int64(35), np.int64(37), np.int64(39), np.int64(46), np.int64(49)], np.float64(259.20498444264155))"
4,"([np.int64(0), np.int64(2), np.int64(10), np.int64(11), np.int64(16), np.int64(17), np.int64(19), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(31), np.int64(33), np.int64(34), np.int64(36), np.int64(38), np.int64(39), np.int64(40), np.int64(43), np.int64(48), np.int64(49)], np.float64(153.45855006648546))","([np.int64(8), np.int64(19), np.int64(26), np.int64(33)], np.float64(3675.2728150501607))","([], np.float64(3664.1200131067494))","([np.int64(2), np.int64(10), np.int64(18), np.int64(26), np.int64(29), np.int64(34), np.int64(36), np.int64(38), np.int64(39), np.int64(40), np.int64(49)], np.float64(206.61410031976138))","([np.int64(10), np.int64(29), np.int64(34), np.int64(36), np.int64(38), np.int64(39), np.int64(40), np.int64(49)], np.float64(226.76451611233313))"
5,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(9), np.int64(11), np.int64(13), np.int64(15), np.int64(16), np.int64(19), np.int64(20), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(30), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(41), np.int64(42), np.int64(43), np.int64(46), np.int64(49)], np.float64(133.66502976332683))","([], np.float64(3434.1098266781464))","([], np.float64(3434.1098266781464))","([np.int64(0), np.int64(1), np.int64(5), np.int64(11), np.int64(12), np.int64(15), np.int64(22), np.int64(25), np.int64(26), np.int64(49)], np.float64(203.1051948495059))","([np.int64(11), np.int64(12), np.int64(15), np.int64(22), np.int64(25), np.int64(26), np.int64(49)], np.float64(237.13343630374925))"
6,"([np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(16), np.int64(20), np.int64(21), np.int64(27), np.int64(28), np.int64(29), np.int64(33), np.int64(34), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(43), np.int64(44), np.int64(47), np.int64(48), np.int64(49)], np.float64(119.77896657015512))","([], np.float64(3437.9186492027197))","([], np.float64(3437.9186492027197))","([np.int64(7), np.int64(8), np.int64(11), np.int64(16), np.int64(28), np.int64(34), np.int64(36), np.int64(38), np.int64(40), np.int64(49)], np.float64(193.8076361202357))","([np.int64(11), np.int64(16), np.int64(28), np.int64(34), np.int64(36), np.int64(38), np.int64(40), np.int64(49)], np.float64(182.04473708138403))"
7,"([np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(12), np.int64(18), np.int64(19), np.int64(21), np.int64(29), np.int64(31), np.int64(35), np.int64(37), np.int64(41), np.int64(43), np.int64(44), np.int64(45)], np.float64(290.7257769141743))","([], np.float64(3467.848507843148))","([], np.float64(3467.848507843148))","([np.int64(12), np.int64(19), np.int64(23), np.int64(24), np.int64(27), np.int64(30), np.int64(31), np.int64(34), np.int64(40), np.int64(41), np.int64(47), np.int64(48)], np.float64(210.57416744418413))","([np.int64(19), np.int64(24), np.int64(30), np.int64(31), np.int64(34), np.int64(40), np.int64(41)], np.float64(260.4885604742269))"
8,"([np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(18), np.int64(19), np.int64(22), np.int64(26), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(37), np.int64(40), np.int64(42), np.int64(43), np.int64(47), np.int64(48)], np.float64(225.86580171617058))","([np.int64(48)], np.float64(3493.968169559868))","([], np.float64(3487.63987757136))","([np.int64(5), np.int64(10), np.int64(22), np.int64(29), np.int64(31), np.int64(33), np.int64(35), np.int64(40), np.int64(44), np.int64(45)], np.float64(200.59387407052418))","([np.int64(22), np.int64(29), np.int64(31), np.int64(33), np.int64(35), np.int64(40), np.int64(44), np.int64(45)], np.float64(226.23759835153905))"
9,"([np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(11), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(27), np.int64(28), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(40), np.int64(41), np.int64(45), np.int64(47), np.int64(48), np.int64(49)], np.float64(101.2155449843849))","([np.int64(5), np.int64(15), np.int64(33)], np.float64(3625.7393538592223))","([], np.float64(3616.068884033465))","([np.int64(3), np.int64(6), np.int64(15), np.int64(17), np.int64(22), np.int64(27), np.int64(40), np.int64(47), np.int64(49)], np.float64(234.78594374638763))","([np.int64(6), np.int64(15), np.int64(17), np.int64(27), np.int64(40), np.int64(47), np.int64(49)], np.float64(250.4944803675246))"
