run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(16), np.int64(30)], np.float64(0.2416589907301767))","([], np.float64(198.04789510034715))","([], np.float64(198.04789510034715))","([np.int64(2), np.int64(14), np.int64(16), np.int64(19), np.int64(30), np.int64(42)], np.float64(5.039766024942808))","([np.int64(16), np.int64(19), np.int64(30)], np.float64(4.587128641604475))"
1,"([np.int64(18), np.int64(36), np.int64(39)], np.float64(0.22527186116507192))","([], np.float64(201.0981936235681))","([], np.float64(201.0981936235681))","([np.int64(1), np.int64(18), np.int64(22), np.int64(39), np.int64(42)], np.float64(4.891777495984201))","([np.int64(18), np.int64(39)], np.float64(2.80831680604801))"
2,"([np.int64(14), np.int64(20), np.int64(43)], np.float64(0.08274180537246917))","([], np.float64(188.50646220877428))","([], np.float64(188.50646220877428))","([np.int64(20), np.int64(23), np.int64(43)], np.float64(4.284318012432081))","([np.int64(20), np.int64(23), np.int64(43)], np.float64(4.885863891695852))"
3,"([np.int64(12), np.int64(36)], np.float64(0.10542347833441565))","([np.int64(21)], np.float64(199.05534126942))","([], np.float64(199.29681633014803))","([np.int64(12), np.int64(20), np.int64(21), np.int64(36), np.int64(45)], np.float64(4.410042388272557))","([np.int64(12), np.int64(36)], np.float64(3.217826901305918))"
4,"([np.int64(11), np.int64(21)], np.float64(0.26551638613399803))","([], np.float64(178.47394073025265))","([], np.float64(178.47394073025265))","([np.int64(11), np.int64(17), np.int64(21), np.int64(31)], np.float64(4.713994201757637))","([np.int64(11), np.int64(21)], np.float64(2.93003209147705))"
5,"([np.int64(0), np.int64(46)], np.float64(0.16975880053604406))","([], np.float64(191.21251460291595))","([], np.float64(191.21251460291595))","([np.int64(0), np.int64(46)], np.float64(2.9905940725802918))","([np.int64(0), np.int64(46)], np.float64(3.1752964001827424))"
6,"([np.int64(35), np.int64(49)], np.float64(0.18225129934755263))","([np.int64(33)], np.float64(195.0641384670021))","([np.int64(33)], np.float64(192.11775104346253))","([np.int64(6), np.int64(35), np.int64(49)], np.float64(3.2769817923255187))","([np.int64(35), np.int64(49)], np.float64(3.121293907398526))"
7,"([np.int64(42), np.int64(48)], np.float64(0.19913488041150645))","([], np.float64(206.28537839740335))","([], np.float64(206.28537839740335))","([np.int64(42), np.int64(43), np.int64(48)], np.float64(4.88514585094854))","([np.int64(42), np.int64(48)], np.float64(3.02487316991911))"
8,"([np.int64(16), np.int64(32)], np.float64(0.1360469112733311))","([], np.float64(196.97310138037435))","([], np.float64(196.97310138037435))","([np.int64(16), np.int64(32), np.int64(44)], np.float64(2.7753886300875448))","([np.int64(16), np.int64(32), np.int64(44)], np.float64(3.913458125064231))"
9,"([np.int64(12), np.int64(29)], np.float64(0.1315260243672035))","([], np.float64(202.40879388820136))","([], np.float64(202.40879388820136))","([np.int64(12), np.int64(29), np.int64(31), np.int64(49)], np.float64(6.571195652874482))","([np.int64(12), np.int64(15), np.int64(29), np.int64(49)], np.float64(6.623435377830919))"
10,"([np.int64(6), np.int64(10)], np.float64(0.20047919275729514))","([np.int64(42)], np.float64(210.49949792961084))","([], np.float64(212.63407076564974))","([np.int64(6), np.int64(10)], np.float64(3.001066420291478))","([np.int64(6), np.int64(10), np.int64(16)], np.float64(4.129062557599557))"
11,"([np.int64(37), np.int64(44)], np.float64(0.21772656808499613))","([], np.float64(203.47899295302406))","([], np.float64(203.47899295302406))","([np.int64(12), np.int64(14), np.int64(37), np.int64(44)], np.float64(3.9161890713058))","([np.int64(14), np.int64(37), np.int64(42), np.int64(44)], np.float64(4.349975449368467))"
12,"([np.int64(12), np.int64(33)], np.float64(0.23511154316417043))","([], np.float64(206.8561148154892))","([], np.float64(206.8561148154892))","([np.int64(5), np.int64(12), np.int64(33), np.int64(45)], np.float64(4.862365665410757))","([np.int64(12), np.int64(33)], np.float64(3.795885287001676))"
13,"([np.int64(7), np.int64(27)], np.float64(0.15467629080165493))","([], np.float64(188.06983269277606))","([], np.float64(188.06983269277606))","([np.int64(7), np.int64(27), np.int64(42)], np.float64(2.740953734851083))","([np.int64(7), np.int64(27), np.int64(42)], np.float64(3.072202920980401))"
14,"([np.int64(26), np.int64(41)], np.float64(0.09956599259699651))","([], np.float64(192.89479910728775))","([], np.float64(192.89479910728775))","([np.int64(26), np.int64(41)], np.float64(2.6672336873835683))","([np.int64(26), np.int64(41)], np.float64(3.184184764300434))"
15,"([np.int64(46), np.int64(47)], np.float64(0.15282250040633663))","([], np.float64(183.1007090195004))","([], np.float64(183.1007090195004))","([np.int64(15), np.int64(46), np.int64(47)], np.float64(4.411434104807572))","([np.int64(46), np.int64(47)], np.float64(3.4710093854594075))"
16,"([np.int64(20), np.int64(26)], np.float64(0.15275699818442587))","([], np.float64(195.926419903668))","([], np.float64(195.926419903668))","([np.int64(20), np.int64(25), np.int64(26)], np.float64(4.7212693803587475))","([np.int64(20), np.int64(26)], np.float64(3.2736339885774295))"
17,"([np.int64(42), np.int64(43), np.int64(46)], np.float64(0.14357439290861765))","([np.int64(40)], np.float64(200.47243010899317))","([], np.float64(199.81231357891576))","([np.int64(24), np.int64(40), np.int64(42), np.int64(43)], np.float64(5.400464891508342))","([np.int64(42), np.int64(43)], np.float64(3.019728055280201))"
18,"([np.int64(32), np.int64(36)], np.float64(0.13059438364699794))","([np.int64(11), np.int64(21)], np.float64(198.91675573448003))","([np.int64(11), np.int64(21)], np.float64(197.13681240209732))","([np.int64(8), np.int64(32), np.int64(36)], np.float64(3.5383360213265056))","([np.int64(8), np.int64(32), np.int64(36)], np.float64(3.598424216544744))"
