run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(6), np.int64(11), np.int64(18), np.int64(21), np.int64(24), np.int64(36), np.int64(40), np.int64(41), np.int64(43), np.int64(49), np.int64(50), np.int64(51), np.int64(69), np.int64(81), np.int64(96), np.int64(100), np.int64(102), np.int64(106), np.int64(111), np.int64(121), np.int64(125), np.int64(133), np.int64(134), np.int64(135), np.int64(141), np.int64(154), np.int64(155), np.int64(165), np.int64(180), np.int64(181), np.int64(184), np.int64(190), np.int64(196), np.int64(198), np.int64(199), np.int64(206), np.int64(212), np.int64(213), np.int64(217), np.int64(219), np.int64(231), np.int64(234), np.int64(238), np.int64(247)], np.float64(11.15011125121588))","([np.int64(18), np.int64(21), np.int64(24), np.int64(40), np.int64(50), np.int64(51), np.int64(106), np.int64(121), np.int64(141), np.int64(154), np.int64(190), np.int64(219), np.int64(234)], np.float64(0.8819933209415924))","([], np.float64(128.08550195634615))","([np.int64(24), np.int64(135), np.int64(154), np.int64(190), np.int64(234)], np.float64(115.62787769576025))","([np.int64(227), np.int64(234)], np.float64(182.2023721959488))"
1,"([np.int64(5), np.int64(23), np.int64(28), np.int64(30), np.int64(39), np.int64(52), np.int64(59), np.int64(71), np.int64(72), np.int64(73), np.int64(74), np.int64(75), np.int64(76), np.int64(78), np.int64(79), np.int64(84), np.int64(92), np.int64(101), np.int64(106), np.int64(109), np.int64(110), np.int64(114), np.int64(122), np.int64(126), np.int64(130), np.int64(138), np.int64(140), np.int64(143), np.int64(152), np.int64(153), np.int64(156), np.int64(173), np.int64(176), np.int64(182), np.int64(186), np.int64(189), np.int64(190), np.int64(191), np.int64(194), np.int64(201), np.int64(207), np.int64(210), np.int64(218), np.int64(225), np.int64(226), np.int64(230), np.int64(237)], np.float64(68.7056241934064))","([np.int64(23), np.int64(58), np.int64(73), np.int64(76), np.int64(78), np.int64(79), np.int64(92), np.int64(126), np.int64(140), np.int64(194), np.int64(196), np.int64(201), np.int64(226), np.int64(237)], np.float64(1.4324192474257593))","([], np.float64(115.79826363914698))","([np.int64(5), np.int64(23), np.int64(71), np.int64(76), np.int64(92), np.int64(130), np.int64(138), np.int64(153), np.int64(190), np.int64(200), np.int64(207), np.int64(210)], np.float64(108.16967831092174))","([], np.float64(116.15027122934572))"
2,"([np.int64(7), np.int64(11), np.int64(19), np.int64(23), np.int64(25), np.int64(44), np.int64(48), np.int64(50), np.int64(70), np.int64(78), np.int64(80), np.int64(84), np.int64(94), np.int64(112), np.int64(116), np.int64(121), np.int64(124), np.int64(128), np.int64(139), np.int64(158), np.int64(161), np.int64(181), np.int64(184), np.int64(185), np.int64(199), np.int64(200), np.int64(208), np.int64(216), np.int64(218), np.int64(223), np.int64(226), np.int64(233), np.int64(238), np.int64(245), np.int64(248)], np.float64(7.798077304808552))","([np.int64(7), np.int64(11), np.int64(23), np.int64(48), np.int64(70), np.int64(94), np.int64(124), np.int64(185), np.int64(199), np.int64(200), np.int64(208), np.int64(216), np.int64(226)], np.float64(0.9422233724705354))","([np.int64(7), np.int64(94), np.int64(200)], np.float64(115.17576100797169))","([np.int64(7), np.int64(94), np.int64(200), np.int64(203), np.int64(216)], np.float64(92.17311294293197))","([], np.float64(120.53377628419891))"
3,"([np.int64(7), np.int64(10), np.int64(17), np.int64(31), np.int64(33), np.int64(34), np.int64(35), np.int64(39), np.int64(44), np.int64(49), np.int64(54), np.int64(60), np.int64(67), np.int64(69), np.int64(77), np.int64(81), np.int64(87), np.int64(93), np.int64(100), np.int64(134), np.int64(140), np.int64(168), np.int64(170), np.int64(189), np.int64(190), np.int64(191), np.int64(194), np.int64(199), np.int64(209), np.int64(212), np.int64(214), np.int64(218), np.int64(249)], np.float64(4.968858116826165))","([np.int64(10), np.int64(31), np.int64(34), np.int64(35), np.int64(39), np.int64(44), np.int64(60), np.int64(140), np.int64(168), np.int64(191), np.int64(194), np.int64(214), np.int64(249)], np.float64(1.359994558723411))","([np.int64(10), np.int64(39), np.int64(140)], np.float64(99.47983697787463))","([np.int64(10), np.int64(34), np.int64(39), np.int64(60), np.int64(81), np.int64(140), np.int64(149), np.int64(187), np.int64(199), np.int64(214)], np.float64(80.85084034815922))","([], np.float64(109.42085903931489))"
4,"([np.int64(13), np.int64(37), np.int64(38), np.int64(39), np.int64(45), np.int64(55), np.int64(59), np.int64(60), np.int64(68), np.int64(78), np.int64(81), np.int64(85), np.int64(95), np.int64(98), np.int64(101), np.int64(131), np.int64(141), np.int64(142), np.int64(155), np.int64(169), np.int64(171), np.int64(172), np.int64(199), np.int64(200), np.int64(212), np.int64(225), np.int64(226), np.int64(229), np.int64(230), np.int64(242), np.int64(244), np.int64(245)], np.float64(33.3461468078786))","([np.int64(37), np.int64(38), np.int64(45), np.int64(68), np.int64(78), np.int64(81), np.int64(98), np.int64(171), np.int64(172), np.int64(200), np.int64(212), np.int64(229), np.int64(244)], np.float64(2.9085691609918567))","([], np.float64(121.73724196308936))","([np.int64(37), np.int64(45), np.int64(55), np.int64(68), np.int64(171), np.int64(212)], np.float64(88.16590248666866))","([np.int64(200)], np.float64(210.71685082562541))"
5,"([np.int64(3), np.int64(9), np.int64(14), np.int64(17), np.int64(25), np.int64(28), np.int64(30), np.int64(35), np.int64(38), np.int64(48), np.int64(53), np.int64(55), np.int64(64), np.int64(67), np.int64(68), np.int64(71), np.int64(81), np.int64(84), np.int64(99), np.int64(110), np.int64(113), np.int64(133), np.int64(151), np.int64(157), np.int64(158), np.int64(171), np.int64(175), np.int64(176), np.int64(185), np.int64(190), np.int64(206), np.int64(217)], np.float64(2.4668352579774266))","([np.int64(3), np.int64(9), np.int64(30), np.int64(38), np.int64(55), np.int64(64), np.int64(99), np.int64(133), np.int64(151), np.int64(157), np.int64(185), np.int64(190), np.int64(206)], np.float64(2.994519303146441))","([], np.float64(117.56640514077212))","([np.int64(27), np.int64(30), np.int64(46), np.int64(53), np.int64(55), np.int64(123), np.int64(212)], np.float64(141.24672607792996))","([], np.float64(121.9362562417036))"
6,"([np.int64(1), np.int64(6), np.int64(16), np.int64(49), np.int64(74), np.int64(76), np.int64(77), np.int64(85), np.int64(96), np.int64(104), np.int64(139), np.int64(141), np.int64(142), np.int64(148), np.int64(157), np.int64(186), np.int64(188), np.int64(192), np.int64(201), np.int64(207), np.int64(221), np.int64(224), np.int64(233), np.int64(234), np.int64(239)], np.float64(20.04910941152722))","([np.int64(6), np.int64(49), np.int64(74), np.int64(76), np.int64(77), np.int64(96), np.int64(104), np.int64(148), np.int64(186), np.int64(188), np.int64(192), np.int64(221), np.int64(233)], np.float64(1.5336752499139468))","([], np.float64(122.41520558550943))","([np.int64(1), np.int64(77), np.int64(100), np.int64(148), np.int64(186), np.int64(196)], np.float64(113.6654700856108))","([np.int64(77), np.int64(175), np.int64(186), np.int64(226), np.int64(237)], np.float64(165.49624156828827))"
7,"([np.int64(1), np.int64(9), np.int64(19), np.int64(21), np.int64(22), np.int64(26), np.int64(38), np.int64(55), np.int64(58), np.int64(62), np.int64(64), np.int64(65), np.int64(71), np.int64(73), np.int64(78), np.int64(81), np.int64(82), np.int64(83), np.int64(86), np.int64(87), np.int64(93), np.int64(100), np.int64(114), np.int64(115), np.int64(116), np.int64(120), np.int64(122), np.int64(125), np.int64(126), np.int64(128), np.int64(134), np.int64(140), np.int64(146), np.int64(148), np.int64(152), np.int64(155), np.int64(171), np.int64(184), np.int64(191), np.int64(194), np.int64(208), np.int64(211), np.int64(220), np.int64(223), np.int64(238), np.int64(241), np.int64(245)], np.float64(2.499116620845801))","([np.int64(22), np.int64(73), np.int64(81), np.int64(82), np.int64(83), np.int64(114), np.int64(146), np.int64(155), np.int64(171), np.int64(208), np.int64(211), np.int64(220), np.int64(245)], np.float64(0.4189455819327453))","([np.int64(245)], np.float64(112.68500062589071))","([np.int64(66), np.int64(171), np.int64(208), np.int64(211), np.int64(245)], np.float64(108.85394133634387))","([np.int64(66), np.int64(171)], np.float64(178.9027261783461))"
8,"([], np.float64(123.09631092558512))","([np.int64(16), np.int64(40), np.int64(44), np.int64(64), np.int64(99), np.int64(149), np.int64(158), np.int64(162), np.int64(167), np.int64(191), np.int64(201), np.int64(230), np.int64(243)], np.float64(6.483755314469276))","([np.int64(99)], np.float64(120.63246364313837))","([np.int64(55), np.int64(96), np.int64(99), np.int64(119), np.int64(231)], np.float64(135.84696934643668))","([np.int64(231)], np.float64(202.98561102530314))"
9,"([np.int64(1), np.int64(25), np.int64(29), np.int64(33), np.int64(44), np.int64(45), np.int64(49), np.int64(51), np.int64(56), np.int64(62), np.int64(76), np.int64(81), np.int64(87), np.int64(89), np.int64(90), np.int64(97), np.int64(99), np.int64(100), np.int64(103), np.int64(111), np.int64(124), np.int64(125), np.int64(129), np.int64(131), np.int64(149), np.int64(156), np.int64(176), np.int64(182), np.int64(189), np.int64(197), np.int64(220), np.int64(229), np.int64(232)], np.float64(5.066816847916995))","([np.int64(25), np.int64(62), np.int64(87), np.int64(89), np.int64(124), np.int64(131), np.int64(149), np.int64(150), np.int64(156), np.int64(176), np.int64(182), np.int64(189), np.int64(229), np.int64(232)], np.float64(0.8069889377416956))","([], np.float64(113.20114137233926))","([np.int64(34), np.int64(51), np.int64(117), np.int64(149)], np.float64(127.06832280884277))","([np.int64(149), np.int64(162), np.int64(166), np.int64(239)], np.float64(153.83011961990053))"
