run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(5), np.int64(6), np.int64(26), np.int64(29), np.int64(94), np.int64(135), np.int64(136), np.int64(158), np.int64(168), np.int64(205), np.int64(213), np.int64(223)], np.float64(2.9015007397538124))","([np.int64(26), np.int64(94), np.int64(135), np.int64(158), np.int64(168), np.int64(205), np.int64(223)], np.float64(1.6084496922659506))","([np.int64(26), np.int64(135), np.int64(158), np.int64(168)], np.float64(55.14727158806855))","([np.int64(6), np.int64(26), np.int64(94), np.int64(135), np.int64(158), np.int64(166), np.int64(168), np.int64(212)], np.float64(38.71214288287224))","([np.int64(158), np.int64(168)], np.float64(69.49197105208145))"
1,"([np.int64(3), np.int64(24), np.int64(27), np.int64(39), np.int64(49), np.int64(58), np.int64(65), np.int64(81), np.int64(84), np.int64(95), np.int64(96), np.int64(109), np.int64(111), np.int64(120), np.int64(147), np.int64(167), np.int64(173), np.int64(183), np.int64(189), np.int64(192), np.int64(198), np.int64(204), np.int64(213)], np.float64(1.832699365873786))","([np.int64(3), np.int64(24), np.int64(27), np.int64(39), np.int64(81), np.int64(109), np.int64(167)], np.float64(0.24277410985149364))","([np.int64(24)], np.float64(64.53493867964606))","([np.int64(3), np.int64(18), np.int64(24), np.int64(27), np.int64(109), np.int64(167)], np.float64(36.06988443774516))","([], np.float64(66.19235729584464))"
2,"([np.int64(30), np.int64(41), np.int64(52), np.int64(61), np.int64(184), np.int64(198), np.int64(219), np.int64(243)], np.float64(3.77679788444176))","([np.int64(30), np.int64(41), np.int64(52), np.int64(61), np.int64(184), np.int64(219), np.int64(243)], np.float64(0.6530444907682101))","([np.int64(41), np.int64(52), np.int64(61), np.int64(219), np.int64(243)], np.float64(35.987493027814836))","([np.int64(41), np.int64(52), np.int64(61), np.int64(206), np.int64(219), np.int64(243)], np.float64(30.24480885215))","([np.int64(52), np.int64(61)], np.float64(72.98282489173785))"
3,"([np.int64(31), np.int64(41), np.int64(98), np.int64(104), np.int64(127), np.int64(131), np.int64(138), np.int64(140), np.int64(168), np.int64(190), np.int64(194), np.int64(226), np.int64(247)], np.float64(3.397775474206107))","([np.int64(31), np.int64(98), np.int64(104), np.int64(127), np.int64(194), np.int64(226), np.int64(247)], np.float64(0.5136933692185367))","([np.int64(127), np.int64(226), np.int64(247)], np.float64(51.324271053665655))","([np.int64(76), np.int64(127), np.int64(131), np.int64(138), np.int64(168), np.int64(198), np.int64(226), np.int64(247)], np.float64(51.776901815302175))","([np.int64(76), np.int64(138), np.int64(247)], np.float64(80.30673296459666))"
4,"([np.int64(22), np.int64(24), np.int64(29), np.int64(40), np.int64(44), np.int64(54), np.int64(91), np.int64(93), np.int64(123), np.int64(132), np.int64(137), np.int64(148), np.int64(155), np.int64(161), np.int64(211), np.int64(241), np.int64(242)], np.float64(1.6962638348684882))","([np.int64(22), np.int64(29), np.int64(44), np.int64(132), np.int64(137), np.int64(148), np.int64(241)], np.float64(0.10575572523871454))","([np.int64(22), np.int64(29), np.int64(148)], np.float64(52.60672104036488))","([np.int64(22), np.int64(29), np.int64(36), np.int64(44), np.int64(48), np.int64(97), np.int64(148), np.int64(155), np.int64(161)], np.float64(46.45657363876288))","([np.int64(29), np.int64(155)], np.float64(86.6370296266151))"
5,"([np.int64(3), np.int64(6), np.int64(8), np.int64(11), np.int64(15), np.int64(16), np.int64(30), np.int64(39), np.int64(48), np.int64(53), np.int64(57), np.int64(59), np.int64(67), np.int64(75), np.int64(78), np.int64(84), np.int64(98), np.int64(106), np.int64(109), np.int64(111), np.int64(117), np.int64(123), np.int64(124), np.int64(129), np.int64(130), np.int64(131), np.int64(135), np.int64(139), np.int64(151), np.int64(153), np.int64(159), np.int64(163), np.int64(164), np.int64(185), np.int64(186), np.int64(192), np.int64(200), np.int64(203), np.int64(209), np.int64(216), np.int64(220), np.int64(221), np.int64(248)], np.float64(0.826969057261512))","([np.int64(8), np.int64(59), np.int64(78), np.int64(117), np.int64(130), np.int64(153), np.int64(216)], np.float64(1.4168891383862083))","([np.int64(78), np.int64(117)], np.float64(54.34071427281045))","([np.int64(78), np.int64(117)], np.float64(54.38598722919516))","([np.int64(117)], np.float64(99.60014501750433))"
6,"([np.int64(1), np.int64(2), np.int64(11), np.int64(15), np.int64(16), np.int64(17), np.int64(19), np.int64(20), np.int64(24), np.int64(29), np.int64(31), np.int64(34), np.int64(39), np.int64(41), np.int64(43), np.int64(46), np.int64(51), np.int64(55), np.int64(56), np.int64(74), np.int64(77), np.int64(95), np.int64(119), np.int64(121), np.int64(132), np.int64(138), np.int64(140), np.int64(143), np.int64(145), np.int64(147), np.int64(154), np.int64(157), np.int64(160), np.int64(163), np.int64(166), np.int64(167), np.int64(170), np.int64(172), np.int64(181), np.int64(186), np.int64(187), np.int64(188), np.int64(192), np.int64(205), np.int64(220), np.int64(223), np.int64(228), np.int64(229), np.int64(232), np.int64(240), np.int64(242), np.int64(249)], np.float64(0.7999999284346744))","([np.int64(16), np.int64(20), np.int64(24), np.int64(143), np.int64(167), np.int64(172), np.int64(240)], np.float64(0.6287251525507722))","([np.int64(143), np.int64(167), np.int64(172)], np.float64(52.20382719472026))","([np.int64(143), np.int64(167), np.int64(172), np.int64(244)], np.float64(42.54998451010834))","([np.int64(143), np.int64(167), np.int64(172)], np.float64(56.00388795765561))"
7,"([np.int64(33), np.int64(37), np.int64(48), np.int64(57), np.int64(63), np.int64(95), np.int64(109), np.int64(111), np.int64(150), np.int64(184), np.int64(211), np.int64(229), np.int64(234)], np.float64(3.8529836327114912))","([np.int64(33), np.int64(57), np.int64(63), np.int64(109), np.int64(111), np.int64(150), np.int64(229)], np.float64(0.6947371667584938))","([np.int64(63), np.int64(109), np.int64(150)], np.float64(55.59206235742251))","([np.int64(19), np.int64(33), np.int64(37), np.int64(63), np.int64(109), np.int64(119), np.int64(150), np.int64(184), np.int64(229)], np.float64(38.23758575969055))","([], np.float64(65.55705576909651))"
8,"([np.int64(31), np.int64(49), np.int64(61), np.int64(78), np.int64(148), np.int64(194), np.int64(232), np.int64(234)], np.float64(3.8753044148205564))","([np.int64(31), np.int64(49), np.int64(61), np.int64(78), np.int64(148), np.int64(232), np.int64(234)], np.float64(0.1694600640716471))","([np.int64(148), np.int64(232), np.int64(234)], np.float64(50.64195155013495))","([np.int64(148), np.int64(186), np.int64(234)], np.float64(64.46127616643294))","([np.int64(234)], np.float64(132.5133161783555))"
9,"([np.int64(3), np.int64(7), np.int64(10), np.int64(11), np.int64(16), np.int64(19), np.int64(25), np.int64(28), np.int64(30), np.int64(31), np.int64(40), np.int64(44), np.int64(49), np.int64(56), np.int64(59), np.int64(65), np.int64(66), np.int64(76), np.int64(88), np.int64(89), np.int64(97), np.int64(117), np.int64(124), np.int64(130), np.int64(142), np.int64(150), np.int64(151), np.int64(157), np.int64(164), np.int64(167), np.int64(172), np.int64(177), np.int64(180), np.int64(187), np.int64(194), np.int64(197), np.int64(198), np.int64(199), np.int64(206), np.int64(208), np.int64(209), np.int64(210), np.int64(215), np.int64(217), np.int64(222), np.int64(224), np.int64(231), np.int64(233), np.int64(245), np.int64(249)], np.float64(1.879678127951673))","([np.int64(3), np.int64(11), np.int64(40), np.int64(198), np.int64(210), np.int64(215), np.int64(222), np.int64(224)], np.float64(0.18922372174931917))","([np.int64(3)], np.float64(64.58183062409648))","([np.int64(3), np.int64(8), np.int64(40), np.int64(71), np.int64(222), np.int64(231)], np.float64(55.59210191208701))","([np.int64(40), np.int64(75), np.int64(153), np.int64(166)], np.float64(82.026540112489))"
