run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(2), np.int64(3), np.int64(5), np.int64(8), np.int64(24), np.int64(26), np.int64(29), np.int64(32), np.int64(33), np.int64(36), np.int64(42), np.int64(55), np.int64(59), np.int64(67), np.int64(69), np.int64(70), np.int64(73), np.int64(78), np.int64(86), np.int64(93), np.int64(104), np.int64(106), np.int64(112), np.int64(116), np.int64(120), np.int64(129), np.int64(131), np.int64(136), np.int64(138), np.int64(144), np.int64(145), np.int64(148), np.int64(150), np.int64(153), np.int64(155), np.int64(168), np.int64(185), np.int64(193), np.int64(210), np.int64(217), np.int64(229), np.int64(238), np.int64(246), np.int64(247), np.int64(248)], np.float64(1.4377243740580732))","([np.int64(24), np.int64(26), np.int64(59), np.int64(78), np.int64(106), np.int64(138), np.int64(185), np.int64(217), np.int64(229), np.int64(238), np.int64(247), np.int64(248)], np.float64(1.4893438582774414))","([np.int64(26), np.int64(32)], np.float64(109.2752569673832))","([np.int64(22), np.int64(26), np.int64(32), np.int64(57), np.int64(59), np.int64(117), np.int64(131), np.int64(217), np.int64(229), np.int64(238), np.int64(248)], np.float64(86.35146881648753))","([np.int64(32), np.int64(51), np.int64(188)], np.float64(200.83893847420867))"
1,"([np.int64(20), np.int64(21), np.int64(24), np.int64(31), np.int64(58), np.int64(60), np.int64(67), np.int64(84), np.int64(88), np.int64(98), np.int64(101), np.int64(117), np.int64(119), np.int64(120), np.int64(125), np.int64(126), np.int64(131), np.int64(141), np.int64(155), np.int64(156), np.int64(172), np.int64(178), np.int64(186), np.int64(198), np.int64(204), np.int64(211), np.int64(213), np.int64(229), np.int64(238), np.int64(241)], np.float64(3.1570908426904714))","([np.int64(24), np.int64(98), np.int64(101), np.int64(117), np.int64(126), np.int64(141), np.int64(156), np.int64(172), np.int64(178), np.int64(186), np.int64(229), np.int64(241)], np.float64(2.679034528166124))","([], np.float64(104.13684845667434))","([np.int64(20), np.int64(84), np.int64(88), np.int64(104), np.int64(119)], np.float64(125.6324911188761))","([], np.float64(104.54885515440753))"
2,"([np.int64(18), np.int64(23), np.int64(26), np.int64(30), np.int64(35), np.int64(38), np.int64(52), np.int64(57), np.int64(71), np.int64(73), np.int64(88), np.int64(89), np.int64(90), np.int64(104), np.int64(105), np.int64(106), np.int64(119), np.int64(131), np.int64(134), np.int64(138), np.int64(139), np.int64(146), np.int64(156), np.int64(166), np.int64(179), np.int64(180), np.int64(181), np.int64(194), np.int64(207), np.int64(213), np.int64(216), np.int64(220), np.int64(223), np.int64(225), np.int64(233), np.int64(239), np.int64(241), np.int64(249)], np.float64(6.373497055085192))","([np.int64(18), np.int64(26), np.int64(52), np.int64(57), np.int64(134), np.int64(139), np.int64(146), np.int64(166), np.int64(181), np.int64(207), np.int64(216), np.int64(241)], np.float64(0.3206618048134952))","([np.int64(139), np.int64(241)], np.float64(102.349518834995))","([np.int64(14), np.int64(139), np.int64(166), np.int64(181), np.int64(241), np.int64(249)], np.float64(96.72164416813199))","([], np.float64(107.47348121752474))"
3,"([np.int64(23), np.int64(33), np.int64(35), np.int64(37), np.int64(50), np.int64(51), np.int64(57), np.int64(62), np.int64(66), np.int64(69), np.int64(71), np.int64(73), np.int64(80), np.int64(83), np.int64(85), np.int64(92), np.int64(97), np.int64(117), np.int64(123), np.int64(135), np.int64(140), np.int64(146), np.int64(149), np.int64(155), np.int64(157), np.int64(163), np.int64(165), np.int64(166), np.int64(176), np.int64(186), np.int64(194), np.int64(195), np.int64(201), np.int64(205), np.int64(206), np.int64(228), np.int64(240), np.int64(246), np.int64(247)], np.float64(11.688844313747136))","([np.int64(23), np.int64(33), np.int64(62), np.int64(73), np.int64(97), np.int64(176), np.int64(186), np.int64(194), np.int64(201), np.int64(228), np.int64(240), np.int64(246)], np.float64(2.043578276727502))","([], np.float64(105.74973956572462))","([np.int64(23), np.int64(69), np.int64(80), np.int64(116), np.int64(201), np.int64(246)], np.float64(97.79242800087795))","([np.int64(157)], np.float64(190.03528928553638))"
4,"([np.int64(1), np.int64(3), np.int64(18), np.int64(24), np.int64(27), np.int64(37), np.int64(41), np.int64(62), np.int64(67), np.int64(70), np.int64(73), np.int64(75), np.int64(80), np.int64(81), np.int64(84), np.int64(103), np.int64(104), np.int64(108), np.int64(113), np.int64(132), np.int64(136), np.int64(142), np.int64(153), np.int64(156), np.int64(161), np.int64(174), np.int64(191), np.int64(192), np.int64(203), np.int64(204), np.int64(207), np.int64(216), np.int64(224), np.int64(234), np.int64(235)], np.float64(27.928148346511218))","([np.int64(41), np.int64(62), np.int64(67), np.int64(70), np.int64(75), np.int64(81), np.int64(153), np.int64(161), np.int64(191), np.int64(204), np.int64(207), np.int64(224), np.int64(248)], np.float64(0.8365873311215416))","([], np.float64(105.2608231030363))","([np.int64(1), np.int64(17), np.int64(40), np.int64(62), np.int64(84), np.int64(140), np.int64(161), np.int64(224)], np.float64(100.59136226625432))","([np.int64(140), np.int64(161)], np.float64(144.36928562619073))"
5,"([np.int64(3), np.int64(17), np.int64(25), np.int64(28), np.int64(34), np.int64(48), np.int64(62), np.int64(67), np.int64(72), np.int64(79), np.int64(81), np.int64(84), np.int64(101), np.int64(105), np.int64(106), np.int64(127), np.int64(139), np.int64(164), np.int64(180), np.int64(185), np.int64(199), np.int64(206), np.int64(212), np.int64(213), np.int64(215), np.int64(226), np.int64(232)], np.float64(2.1892238342415093))","([np.int64(34), np.int64(72), np.int64(79), np.int64(81), np.int64(105), np.int64(127), np.int64(139), np.int64(164), np.int64(185), np.int64(206), np.int64(215), np.int64(232)], np.float64(1.1313252922305315))","([], np.float64(104.69336949151064))","([np.int64(34), np.int64(79), np.int64(213)], np.float64(105.64624374558998))","([], np.float64(106.28799007047658))"
6,"([np.int64(0), np.int64(17), np.int64(38), np.int64(42), np.int64(52), np.int64(58), np.int64(69), np.int64(71), np.int64(93), np.int64(96), np.int64(105), np.int64(109), np.int64(118), np.int64(126), np.int64(128), np.int64(140), np.int64(146), np.int64(147), np.int64(153), np.int64(160), np.int64(167), np.int64(180), np.int64(183), np.int64(209), np.int64(213), np.int64(216), np.int64(228), np.int64(229), np.int64(238), np.int64(248)], np.float64(35.88189898174652))","([np.int64(0), np.int64(38), np.int64(42), np.int64(105), np.int64(118), np.int64(126), np.int64(128), np.int64(140), np.int64(167), np.int64(183), np.int64(229), np.int64(238)], np.float64(4.2114305283179885))","([np.int64(238)], np.float64(111.32247304085823))","([np.int64(45), np.int64(69), np.int64(84), np.int64(140), np.int64(160), np.int64(171), np.int64(181), np.int64(209), np.int64(211), np.int64(229), np.int64(238)], np.float64(109.70305052434604))","([np.int64(186), np.int64(229)], np.float64(165.10719801812903))"
7,"([np.int64(8), np.int64(16), np.int64(17), np.int64(25), np.int64(29), np.int64(32), np.int64(38), np.int64(72), np.int64(81), np.int64(86), np.int64(103), np.int64(105), np.int64(110), np.int64(119), np.int64(120), np.int64(121), np.int64(126), np.int64(128), np.int64(129), np.int64(130), np.int64(133), np.int64(134), np.int64(135), np.int64(137), np.int64(153), np.int64(156), np.int64(161), np.int64(164), np.int64(166), np.int64(178), np.int64(196), np.int64(210), np.int64(216), np.int64(242), np.int64(243), np.int64(246), np.int64(248), np.int64(249)], np.float64(7.208969101501845))","([np.int64(17), np.int64(25), np.int64(38), np.int64(121), np.int64(133), np.int64(135), np.int64(156), np.int64(161), np.int64(178), np.int64(242), np.int64(246), np.int64(248)], np.float64(1.4682229399805853))","([np.int64(135)], np.float64(101.01225588679186))","([np.int64(32), np.int64(38), np.int64(41), np.int64(67), np.int64(126), np.int64(135), np.int64(178), np.int64(233), np.int64(242)], np.float64(93.30436168056536))","([np.int64(135)], np.float64(154.00375930372454))"
8,"([np.int64(1), np.int64(9), np.int64(27), np.int64(30), np.int64(41), np.int64(55), np.int64(63), np.int64(86), np.int64(88), np.int64(91), np.int64(96), np.int64(100), np.int64(102), np.int64(110), np.int64(112), np.int64(122), np.int64(134), np.int64(137), np.int64(140), np.int64(145), np.int64(158), np.int64(162), np.int64(182), np.int64(185), np.int64(191), np.int64(198), np.int64(206), np.int64(207), np.int64(211), np.int64(221), np.int64(227), np.int64(245)], np.float64(1.9239741099850312))","([np.int64(1), np.int64(9), np.int64(30), np.int64(86), np.int64(91), np.int64(96), np.int64(102), np.int64(110), np.int64(191), np.int64(206), np.int64(227), np.int64(245)], np.float64(0.17545439062316392))","([np.int64(86), np.int64(245)], np.float64(102.31702718775254))","([np.int64(66), np.int64(86), np.int64(206), np.int64(245)], np.float64(92.40310048937756))","([np.int64(189), np.int64(245)], np.float64(157.88644125260117))"
9,"([np.int64(12), np.int64(24), np.int64(31), np.int64(34), np.int64(41), np.int64(84), np.int64(85), np.int64(98), np.int64(107), np.int64(118), np.int64(121), np.int64(124), np.int64(130), np.int64(133), np.int64(146), np.int64(158), np.int64(172), np.int64(184), np.int64(201), np.int64(206), np.int64(213), np.int64(225)], np.float64(6.299931594291941))","([np.int64(31), np.int64(34), np.int64(41), np.int64(84), np.int64(107), np.int64(118), np.int64(133), np.int64(150), np.int64(158), np.int64(172), np.int64(184), np.int64(206), np.int64(225)], np.float64(0.6400744009133562))","([], np.float64(107.3612792409736))","([np.int64(31), np.int64(34), np.int64(121), np.int64(133), np.int64(142), np.int64(172), np.int64(206), np.int64(224)], np.float64(87.63039010808994))","([np.int64(142), np.int64(222)], np.float64(163.64135463567683))"
10,"([np.int64(7), np.int64(8), np.int64(9), np.int64(12), np.int64(16), np.int64(21), np.int64(25), np.int64(26), np.int64(28), np.int64(36), np.int64(37), np.int64(46), np.int64(51), np.int64(52), np.int64(53), np.int64(54), np.int64(56), np.int64(58), np.int64(60), np.int64(64), np.int64(76), np.int64(83), np.int64(91), np.int64(92), np.int64(97), np.int64(99), np.int64(103), np.int64(111), np.int64(113), np.int64(114), np.int64(120), np.int64(121), np.int64(126), np.int64(132), np.int64(133), np.int64(140), np.int64(142), np.int64(143), np.int64(144), np.int64(145), np.int64(147), np.int64(148), np.int64(150), np.int64(152), np.int64(156), np.int64(158), np.int64(169), np.int64(173), np.int64(175), np.int64(176), np.int64(178), np.int64(183), np.int64(186), np.int64(190), np.int64(200), np.int64(201), np.int64(202), np.int64(208), np.int64(209), np.int64(212), np.int64(213), np.int64(228), np.int64(233), np.int64(240), np.int64(241), np.int64(242), np.int64(245)], np.float64(40.88627227749706))","([np.int64(9), np.int64(26), np.int64(76), np.int64(91), np.int64(92), np.int64(99), np.int64(121), np.int64(126), np.int64(150), np.int64(200), np.int64(202), np.int64(208), np.int64(228)], np.float64(6.698924128364368))","([np.int64(9), np.int64(126), np.int64(202)], np.float64(93.37475266705518))","([np.int64(9), np.int64(14), np.int64(51), np.int64(99), np.int64(126), np.int64(158), np.int64(202)], np.float64(94.4713431853637))","([], np.float64(113.56868620692475))"
11,"([np.int64(1), np.int64(9), np.int64(15), np.int64(30), np.int64(38), np.int64(41), np.int64(49), np.int64(61), np.int64(67), np.int64(68), np.int64(70), np.int64(88), np.int64(100), np.int64(109), np.int64(111), np.int64(116), np.int64(122), np.int64(126), np.int64(128), np.int64(131), np.int64(132), np.int64(138), np.int64(139), np.int64(140), np.int64(143), np.int64(148), np.int64(151), np.int64(158), np.int64(165), np.int64(170), np.int64(175), np.int64(186), np.int64(189), np.int64(192), np.int64(196), np.int64(197), np.int64(198), np.int64(200), np.int64(205), np.int64(207), np.int64(220), np.int64(222), np.int64(228), np.int64(230), np.int64(244), np.int64(247), np.int64(248)], np.float64(1.4682745606776562))","([np.int64(9), np.int64(67), np.int64(88), np.int64(109), np.int64(116), np.int64(140), np.int64(143), np.int64(186), np.int64(192), np.int64(198), np.int64(230), np.int64(248)], np.float64(0.39026420943358725))","([], np.float64(107.53168986474978))","([np.int64(38), np.int64(97), np.int64(109), np.int64(140), np.int64(143), np.int64(186), np.int64(196), np.int64(198), np.int64(222)], np.float64(84.8461984789978))","([], np.float64(107.7851229751044))"
12,"([np.int64(8), np.int64(17), np.int64(18), np.int64(31), np.int64(76), np.int64(82), np.int64(98), np.int64(115), np.int64(126), np.int64(134), np.int64(135), np.int64(142), np.int64(172), np.int64(192), np.int64(200), np.int64(210), np.int64(212), np.int64(214)], np.float64(7.702367959646797))","([np.int64(17), np.int64(18), np.int64(76), np.int64(82), np.int64(115), np.int64(126), np.int64(135), np.int64(172), np.int64(192), np.int64(200), np.int64(212), np.int64(214)], np.float64(0.3432629370062169))","([np.int64(135), np.int64(192)], np.float64(105.22041451797111))","([np.int64(17), np.int64(38), np.int64(115), np.int64(126), np.int64(135), np.int64(172), np.int64(176), np.int64(192), np.int64(194), np.int64(222)], np.float64(82.90842697833725))","([np.int64(192)], np.float64(185.72930102987817))"
