run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(14), np.int64(67), np.int64(93), np.int64(105), np.int64(131), np.int64(167), np.int64(220), np.int64(229), np.int64(240)], np.float64(7.226555565953675))","([np.int64(14), np.int64(67), np.int64(93), np.int64(105), np.int64(131), np.int64(220), np.int64(229), np.int64(240)], np.float64(2.654865603011567))","([np.int64(14), np.int64(67), np.int64(93), np.int64(131), np.int64(220), np.int64(229)], np.float64(53.16954887501098))","([np.int64(14), np.int64(67), np.int64(93), np.int64(117), np.int64(131), np.int64(138), np.int64(220), np.int64(229), np.int64(240)], np.float64(44.49246909948782))","([np.int64(220)], np.float64(126.664479799313))"
1,"([np.int64(7), np.int64(12), np.int64(37), np.int64(57), np.int64(58), np.int64(59), np.int64(61), np.int64(87), np.int64(92), np.int64(101), np.int64(102), np.int64(130), np.int64(140), np.int64(145), np.int64(150), np.int64(155), np.int64(168), np.int64(186), np.int64(187), np.int64(190), np.int64(191), np.int64(194), np.int64(196), np.int64(200), np.int64(203), np.int64(208), np.int64(211), np.int64(212), np.int64(213), np.int64(218), np.int64(219), np.int64(226), np.int64(232), np.int64(233), np.int64(245), np.int64(246), np.int64(249)], np.float64(2.261162964859107))","([np.int64(12), np.int64(37), np.int64(87), np.int64(92), np.int64(186), np.int64(187), np.int64(208), np.int64(233)], np.float64(3.6195770808577907))","([], np.float64(74.80087167788))","([np.int64(37), np.int64(92)], np.float64(66.38219128133001))","([], np.float64(79.65539033678655))"
2,"([np.int64(3), np.int64(9), np.int64(40), np.int64(45), np.int64(48), np.int64(119), np.int64(121), np.int64(128), np.int64(133), np.int64(156), np.int64(216)], np.float64(1.9555874807698426))","([np.int64(3), np.int64(9), np.int64(40), np.int64(45), np.int64(119), np.int64(133), np.int64(156), np.int64(216)], np.float64(0.5702635593446747))","([np.int64(3), np.int64(45), np.int64(133)], np.float64(64.99000777819519))","([np.int64(9), np.int64(40), np.int64(45), np.int64(133), np.int64(216), np.int64(219)], np.float64(47.784200159534876))","([np.int64(40), np.int64(133), np.int64(216), np.int64(219)], np.float64(82.77703017241494))"
3,"([np.int64(8), np.int64(21), np.int64(23), np.int64(58), np.int64(83), np.int64(85), np.int64(103), np.int64(133), np.int64(140), np.int64(176), np.int64(190), np.int64(208), np.int64(231)], np.float64(3.2645295833826506))","([np.int64(8), np.int64(21), np.int64(23), np.int64(58), np.int64(103), np.int64(133), np.int64(140), np.int64(231)], np.float64(2.8543909604758895))","([np.int64(23), np.int64(133)], np.float64(67.29124713664365))","([np.int64(8), np.int64(23), np.int64(58), np.int64(133)], np.float64(45.478622712950994))","([np.int64(23), np.int64(93), np.int64(133), np.int64(186)], np.float64(91.62281669351847))"
4,"([np.int64(15), np.int64(31), np.int64(62), np.int64(86), np.int64(132), np.int64(155), np.int64(170), np.int64(203), np.int64(223), np.int64(243), np.int64(247)], np.float64(4.15655116501334))","([np.int64(15), np.int64(31), np.int64(62), np.int64(132), np.int64(170), np.int64(203), np.int64(243), np.int64(247)], np.float64(0.5081676546881448))","([], np.float64(70.79070352336313))","([np.int64(15), np.int64(31), np.int64(62), np.int64(77), np.int64(86), np.int64(132), np.int64(170), np.int64(188), np.int64(203)], np.float64(42.517419110104846))","([np.int64(15), np.int64(62), np.int64(110), np.int64(180), np.int64(188)], np.float64(89.74562371538998))"
5,"([np.int64(4), np.int64(5), np.int64(11), np.int64(13), np.int64(20), np.int64(21), np.int64(28), np.int64(31), np.int64(42), np.int64(48), np.int64(52), np.int64(53), np.int64(76), np.int64(89), np.int64(93), np.int64(94), np.int64(101), np.int64(103), np.int64(106), np.int64(111), np.int64(113), np.int64(134), np.int64(139), np.int64(145), np.int64(147), np.int64(158), np.int64(161), np.int64(162), np.int64(172), np.int64(188), np.int64(192), np.int64(196), np.int64(205), np.int64(210), np.int64(214), np.int64(221), np.int64(238)], np.float64(1.6486110529624156))","([np.int64(5), np.int64(21), np.int64(94), np.int64(113), np.int64(145), np.int64(147), np.int64(214), np.int64(238)], np.float64(0.576262755259434))","([np.int64(94)], np.float64(67.82981003222729))","([np.int64(39), np.int64(89), np.int64(94), np.int64(132)], np.float64(74.94312389377231))","([np.int64(89), np.int64(120), np.int64(195), np.int64(238), np.int64(240)], np.float64(115.18265880114434))"
6,"([np.int64(20), np.int64(21), np.int64(24), np.int64(29), np.int64(33), np.int64(75), np.int64(80), np.int64(87), np.int64(118), np.int64(131), np.int64(152), np.int64(153), np.int64(160), np.int64(168), np.int64(175), np.int64(212), np.int64(220), np.int64(226), np.int64(228)], np.float64(2.1255357310018512))","([np.int64(20), np.int64(21), np.int64(75), np.int64(118), np.int64(131), np.int64(152), np.int64(175), np.int64(220)], np.float64(0.8814318990600358))","([np.int64(131), np.int64(226)], np.float64(67.95799059768201))","([np.int64(20), np.int64(24), np.int64(131), np.int64(152), np.int64(220), np.int64(226)], np.float64(56.595039848857155))","([], np.float64(70.26477049566823))"
7,"([np.int64(27), np.int64(28), np.int64(41), np.int64(50), np.int64(73), np.int64(74), np.int64(80), np.int64(89), np.int64(94), np.int64(95), np.int64(109), np.int64(120), np.int64(123), np.int64(126), np.int64(144), np.int64(153), np.int64(163), np.int64(178), np.int64(195), np.int64(204), np.int64(205), np.int64(218), np.int64(220), np.int64(231), np.int64(237)], np.float64(2.955179860443681))","([np.int64(27), np.int64(41), np.int64(80), np.int64(126), np.int64(153), np.int64(190), np.int64(195), np.int64(204), np.int64(231)], np.float64(0.8972223612781118))","([np.int64(195), np.int64(231)], np.float64(58.305312563973196))","([np.int64(80), np.int64(123), np.int64(155), np.int64(195), np.int64(231)], np.float64(55.94822592852935))","([np.int64(80), np.int64(123), np.int64(181), np.int64(231)], np.float64(75.43818047198472))"
8,"([np.int64(18), np.int64(68), np.int64(72), np.int64(74), np.int64(124), np.int64(150), np.int64(172), np.int64(183), np.int64(200), np.int64(216)], np.float64(3.12600392677512))","([np.int64(18), np.int64(68), np.int64(72), np.int64(74), np.int64(150), np.int64(172), np.int64(183), np.int64(216)], np.float64(0.21773720556338957))","([np.int64(18), np.int64(172)], np.float64(61.46074513860824))","([np.int64(16), np.int64(18), np.int64(68), np.int64(69), np.int64(72), np.int64(109), np.int64(124), np.int64(172)], np.float64(56.909704181973964))","([np.int64(172), np.int64(208)], np.float64(110.38713229752952))"
9,"([np.int64(2), np.int64(10), np.int64(16), np.int64(25), np.int64(40), np.int64(56), np.int64(59), np.int64(63), np.int64(66), np.int64(67), np.int64(85), np.int64(89), np.int64(90), np.int64(91), np.int64(99), np.int64(103), np.int64(106), np.int64(110), np.int64(120), np.int64(130), np.int64(133), np.int64(138), np.int64(144), np.int64(150), np.int64(157), np.int64(158), np.int64(160), np.int64(163), np.int64(167), np.int64(170), np.int64(172), np.int64(177), np.int64(184), np.int64(185), np.int64(186), np.int64(189), np.int64(192), np.int64(195), np.int64(198), np.int64(199), np.int64(209), np.int64(233), np.int64(242), np.int64(246), np.int64(248), np.int64(249)], np.float64(1.8570851028259423))","([np.int64(40), np.int64(103), np.int64(120), np.int64(138), np.int64(167), np.int64(170), np.int64(195), np.int64(198), np.int64(246)], np.float64(0.48724506101143467))","([np.int64(120)], np.float64(66.53204426987573))","([np.int64(21), np.int64(40), np.int64(120), np.int64(135), np.int64(138), np.int64(167)], np.float64(60.0273467647195))","([np.int64(120)], np.float64(121.04678187148922))"
10,"([np.int64(14), np.int64(19), np.int64(47), np.int64(62), np.int64(64), np.int64(75), np.int64(100), np.int64(120), np.int64(125), np.int64(137), np.int64(217), np.int64(237)], np.float64(4.777828575533905))","([np.int64(14), np.int64(19), np.int64(47), np.int64(100), np.int64(125), np.int64(137), np.int64(217), np.int64(237)], np.float64(0.40233400861566393))","([np.int64(100), np.int64(125), np.int64(198)], np.float64(63.923500531102654))","([np.int64(18), np.int64(19), np.int64(47), np.int64(75), np.int64(100), np.int64(125), np.int64(137), np.int64(153), np.int64(198), np.int64(217)], np.float64(45.101632361338794))","([np.int64(100), np.int64(125), np.int64(198)], np.float64(79.01427621749838))"
