run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(2), np.int64(5), np.int64(12), np.int64(13), np.int64(16), np.int64(22), np.int64(24), np.int64(25), np.int64(32), np.int64(40), np.int64(43), np.int64(47), np.int64(49), np.int64(89), np.int64(97), np.int64(118), np.int64(120), np.int64(134), np.int64(179), np.int64(183), np.int64(186), np.int64(190), np.int64(207), np.int64(214), np.int64(215), np.int64(217), np.int64(219), np.int64(225), np.int64(226), np.int64(227), np.int64(245), np.int64(248), np.int64(249)], np.float64(2.972118720593318))","([np.int64(2), np.int64(5), np.int64(13), np.int64(24), np.int64(43), np.int64(49), np.int64(89), np.int64(134), np.int64(225), np.int64(226)], np.float64(1.3143537225840336))","([], np.float64(95.25809836626807))","([np.int64(2), np.int64(24), np.int64(39), np.int64(43), np.int64(49), np.int64(79), np.int64(86), np.int64(126), np.int64(216), np.int64(219), np.int64(225)], np.float64(83.1048682715711))","([], np.float64(96.6849843781561))"
1,"([np.int64(20), np.int64(23), np.int64(34), np.int64(35), np.int64(42), np.int64(46), np.int64(52), np.int64(56), np.int64(68), np.int64(70), np.int64(72), np.int64(79), np.int64(84), np.int64(85), np.int64(94), np.int64(96), np.int64(97), np.int64(105), np.int64(107), np.int64(112), np.int64(114), np.int64(118), np.int64(119), np.int64(126), np.int64(127), np.int64(136), np.int64(144), np.int64(152), np.int64(155), np.int64(158), np.int64(159), np.int64(164), np.int64(204), np.int64(216), np.int64(218), np.int64(229), np.int64(245)], np.float64(2.5079728552818343))","([np.int64(46), np.int64(52), np.int64(56), np.int64(94), np.int64(96), np.int64(114), np.int64(127), np.int64(144), np.int64(218), np.int64(245)], np.float64(1.7229636901427248))","([], np.float64(91.15090852411397))","([np.int64(52), np.int64(96), np.int64(131), np.int64(216), np.int64(243)], np.float64(89.37054072277542))","([np.int64(52), np.int64(245)], np.float64(115.34297131962741))"
2,"([np.int64(48), np.int64(52), np.int64(57), np.int64(64), np.int64(74), np.int64(84), np.int64(94), np.int64(126), np.int64(139), np.int64(142), np.int64(159), np.int64(187), np.int64(188), np.int64(194), np.int64(206), np.int64(207), np.int64(239), np.int64(241)], np.float64(4.485882118773081))","([np.int64(52), np.int64(57), np.int64(74), np.int64(84), np.int64(139), np.int64(142), np.int64(159), np.int64(187), np.int64(206), np.int64(239), np.int64(241)], np.float64(0.2756606822558956))","([np.int64(57), np.int64(139), np.int64(239), np.int64(241)], np.float64(84.88565696516984))","([np.int64(57), np.int64(109), np.int64(139), np.int64(188), np.int64(207), np.int64(239), np.int64(241)], np.float64(80.87575678487006))","([], np.float64(91.3941288212428))"
3,"([np.int64(11), np.int64(51), np.int64(57), np.int64(75), np.int64(117), np.int64(155), np.int64(156), np.int64(164), np.int64(181), np.int64(197), np.int64(213), np.int64(229), np.int64(230), np.int64(235), np.int64(240), np.int64(244)], np.float64(3.0972647212331568))","([np.int64(11), np.int64(51), np.int64(75), np.int64(117), np.int64(155), np.int64(156), np.int64(164), np.int64(197), np.int64(229), np.int64(230)], np.float64(0.3315478065678874))","([np.int64(51), np.int64(117)], np.float64(86.99191091592964))","([np.int64(51), np.int64(75), np.int64(99), np.int64(117), np.int64(155), np.int64(156), np.int64(235)], np.float64(59.53000268299437))","([np.int64(117)], np.float64(164.03741955608007))"
4,"([np.int64(11), np.int64(22), np.int64(24), np.int64(55), np.int64(74), np.int64(84), np.int64(96), np.int64(108), np.int64(119), np.int64(127), np.int64(144), np.int64(146), np.int64(153), np.int64(154), np.int64(184), np.int64(187), np.int64(189), np.int64(194), np.int64(195), np.int64(211), np.int64(212), np.int64(217), np.int64(230), np.int64(248)], np.float64(2.969502927539803))","([np.int64(24), np.int64(55), np.int64(74), np.int64(96), np.int64(108), np.int64(144), np.int64(154), np.int64(184), np.int64(187), np.int64(212)], np.float64(1.0317573517272742))","([], np.float64(90.2840739680043))","([np.int64(11), np.int64(22), np.int64(27), np.int64(41), np.int64(96), np.int64(163), np.int64(184), np.int64(194), np.int64(195)], np.float64(94.68964468662011))","([], np.float64(91.05310823400309))"
5,"([np.int64(21), np.int64(25), np.int64(45), np.int64(56), np.int64(68), np.int64(77), np.int64(86), np.int64(89), np.int64(91), np.int64(94), np.int64(103), np.int64(119), np.int64(134), np.int64(139), np.int64(155), np.int64(160), np.int64(161), np.int64(162), np.int64(163), np.int64(177), np.int64(186), np.int64(198), np.int64(209), np.int64(219), np.int64(222)], np.float64(7.994598785577276))","([np.int64(45), np.int64(77), np.int64(103), np.int64(134), np.int64(139), np.int64(155), np.int64(160), np.int64(161), np.int64(209), np.int64(222)], np.float64(1.6339951417301186))","([np.int64(161)], np.float64(90.98024077470534))","([np.int64(21), np.int64(152), np.int64(160), np.int64(161), np.int64(163), np.int64(198)], np.float64(102.40899111795271))","([np.int64(103), np.int64(161), np.int64(246)], np.float64(107.18524851398516))"
6,"([np.int64(2), np.int64(23), np.int64(24), np.int64(33), np.int64(48), np.int64(67), np.int64(73), np.int64(76), np.int64(83), np.int64(124), np.int64(130), np.int64(149), np.int64(164), np.int64(172)], np.float64(2.3988098450111073))","([np.int64(23), np.int64(24), np.int64(33), np.int64(67), np.int64(73), np.int64(76), np.int64(124), np.int64(130), np.int64(149), np.int64(164)], np.float64(0.4486773241908062))","([np.int64(124), np.int64(130)], np.float64(81.05128734382093))","([np.int64(23), np.int64(33), np.int64(45), np.int64(48), np.int64(83), np.int64(124), np.int64(130), np.int64(164), np.int64(207)], np.float64(65.97696228305172))","([np.int64(130)], np.float64(169.38548262429762))"
7,"([np.int64(1), np.int64(2), np.int64(14), np.int64(16), np.int64(21), np.int64(23), np.int64(24), np.int64(35), np.int64(39), np.int64(45), np.int64(47), np.int64(50), np.int64(51), np.int64(54), np.int64(64), np.int64(65), np.int64(75), np.int64(78), np.int64(83), np.int64(88), np.int64(89), np.int64(92), np.int64(106), np.int64(113), np.int64(114), np.int64(116), np.int64(125), np.int64(130), np.int64(132), np.int64(134), np.int64(148), np.int64(151), np.int64(154), np.int64(156), np.int64(157), np.int64(165), np.int64(175), np.int64(177), np.int64(183), np.int64(190), np.int64(192), np.int64(207), np.int64(211), np.int64(213), np.int64(219), np.int64(222), np.int64(224), np.int64(226), np.int64(230), np.int64(232)], np.float64(3.271393551895584))","([np.int64(23), np.int64(35), np.int64(47), np.int64(50), np.int64(54), np.int64(83), np.int64(88), np.int64(114), np.int64(132), np.int64(157)], np.float64(0.5838724021886667))","([np.int64(50)], np.float64(87.5899447729924))","([np.int64(50), np.int64(80), np.int64(147), np.int64(200), np.int64(246)], np.float64(98.41043917761623))","([np.int64(200), np.int64(246)], np.float64(135.3075416617217))"
8,"([np.int64(17), np.int64(22), np.int64(44), np.int64(59), np.int64(77), np.int64(95), np.int64(101), np.int64(120), np.int64(141), np.int64(178), np.int64(179), np.int64(209), np.int64(240), np.int64(244)], np.float64(11.931009998864432))","([np.int64(17), np.int64(22), np.int64(77), np.int64(95), np.int64(101), np.int64(120), np.int64(178), np.int64(179), np.int64(209), np.int64(240)], np.float64(6.0942744681198056))","([np.int64(44), np.int64(101), np.int64(120), np.int64(240)], np.float64(87.3155221459736))","([np.int64(44), np.int64(101), np.int64(120), np.int64(178), np.int64(240)], np.float64(73.86242672216501))","([np.int64(101)], np.float64(135.43136112945658))"
9,"([np.int64(2), np.int64(5), np.int64(8), np.int64(13), np.int64(31), np.int64(97), np.int64(110), np.int64(124), np.int64(150), np.int64(158), np.int64(190), np.int64(193), np.int64(198), np.int64(229), np.int64(231), np.int64(232), np.int64(239), np.int64(246)], np.float64(1.5304908601028075))","([np.int64(2), np.int64(8), np.int64(31), np.int64(110), np.int64(150), np.int64(190), np.int64(193), np.int64(229), np.int64(231), np.int64(232), np.int64(239)], np.float64(5.568835419267797))","([np.int64(190), np.int64(239)], np.float64(85.58689872111388))","([np.int64(142), np.int64(190), np.int64(193), np.int64(232), np.int64(239)], np.float64(65.76542473648702))","([np.int64(232)], np.float64(183.03140327129415))"
