run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(4), np.int64(14), np.int64(17), np.int64(54), np.int64(61), np.int64(67), np.int64(76), np.int64(84), np.int64(89), np.int64(90), np.int64(91), np.int64(96), np.int64(103), np.int64(131), np.int64(144), np.int64(148), np.int64(152), np.int64(153), np.int64(189), np.int64(207), np.int64(210), np.int64(213), np.int64(215), np.int64(234), np.int64(242), np.int64(249)], np.float64(1.5999826477197538))","([np.int64(4), np.int64(54), np.int64(67), np.int64(84), np.int64(103), np.int64(144), np.int64(153), np.int64(207), np.int64(210), np.int64(215), np.int64(242)], np.float64(0.1947047323846208))","([], np.float64(100.10681433705328))","([np.int64(4), np.int64(7), np.int64(54), np.int64(61), np.int64(103), np.int64(123), np.int64(126), np.int64(131), np.int64(224)], np.float64(89.4627721246511))","([], np.float64(100.0366455416957))"
1,"([np.int64(0), np.int64(7), np.int64(42), np.int64(44), np.int64(49), np.int64(55), np.int64(60), np.int64(61), np.int64(63), np.int64(97), np.int64(104), np.int64(115), np.int64(117), np.int64(118), np.int64(123), np.int64(129), np.int64(141), np.int64(146), np.int64(155), np.int64(167), np.int64(173), np.int64(179), np.int64(186), np.int64(197), np.int64(199), np.int64(213), np.int64(217), np.int64(223), np.int64(224), np.int64(227), np.int64(229), np.int64(230), np.int64(233), np.int64(247)], np.float64(6.082285484529183))","([np.int64(0), np.int64(44), np.int64(61), np.int64(104), np.int64(129), np.int64(141), np.int64(146), np.int64(167), np.int64(179), np.int64(186), np.int64(199)], np.float64(2.7836118002042385))","([np.int64(146), np.int64(199)], np.float64(93.16055724571801))","([np.int64(49), np.int64(104), np.int64(146), np.int64(179), np.int64(186), np.int64(199), np.int64(200), np.int64(215)], np.float64(82.07467525588656))","([np.int64(129), np.int64(146), np.int64(199)], np.float64(93.82028165894353))"
2,"([np.int64(3), np.int64(4), np.int64(8), np.int64(16), np.int64(19), np.int64(21), np.int64(25), np.int64(44), np.int64(59), np.int64(76), np.int64(77), np.int64(81), np.int64(86), np.int64(106), np.int64(108), np.int64(116), np.int64(121), np.int64(130), np.int64(148), np.int64(152), np.int64(159), np.int64(167), np.int64(189), np.int64(193), np.int64(194), np.int64(213), np.int64(215), np.int64(218), np.int64(219), np.int64(227), np.int64(231), np.int64(232), np.int64(242)], np.float64(2.9897260420729417))","([np.int64(3), np.int64(19), np.int64(44), np.int64(76), np.int64(86), np.int64(106), np.int64(116), np.int64(189), np.int64(194), np.int64(218), np.int64(232)], np.float64(0.8699168905576595))","([np.int64(3)], np.float64(101.25501669716172))","([np.int64(3), np.int64(16), np.int64(19), np.int64(44), np.int64(108), np.int64(116)], np.float64(88.83626498569606))","([], np.float64(102.85638587448172))"
3,"([np.int64(8), np.int64(43), np.int64(44), np.int64(50), np.int64(51), np.int64(67), np.int64(87), np.int64(94), np.int64(145), np.int64(181), np.int64(187), np.int64(195), np.int64(210), np.int64(212), np.int64(224), np.int64(239), np.int64(245)], np.float64(1.743505167934945))","([np.int64(8), np.int64(43), np.int64(50), np.int64(51), np.int64(145), np.int64(181), np.int64(187), np.int64(212), np.int64(224), np.int64(239), np.int64(245)], np.float64(0.28826387844945384))","([np.int64(212)], np.float64(98.89703673719178))","([np.int64(171), np.int64(181), np.int64(195), np.int64(202), np.int64(210), np.int64(212), np.int64(224), np.int64(245), np.int64(249)], np.float64(82.84553007475525))","([np.int64(212), np.int64(245)], np.float64(130.3324571512917))"
4,"([np.int64(4), np.int64(15), np.int64(28), np.int64(30), np.int64(47), np.int64(60), np.int64(74), np.int64(77), np.int64(84), np.int64(89), np.int64(96), np.int64(101), np.int64(108), np.int64(113), np.int64(127), np.int64(157), np.int64(164), np.int64(186), np.int64(187), np.int64(206), np.int64(217), np.int64(221), np.int64(243), np.int64(245)], np.float64(7.369787402747167))","([np.int64(4), np.int64(15), np.int64(28), np.int64(47), np.int64(84), np.int64(101), np.int64(157), np.int64(164), np.int64(206), np.int64(243), np.int64(245)], np.float64(5.97711538941289))","([np.int64(206)], np.float64(98.44550006486901))","([np.int64(15), np.int64(74), np.int64(164), np.int64(206), np.int64(221)], np.float64(93.44622269876581))","([np.int64(157), np.int64(164), np.int64(186)], np.float64(124.06472522325143))"
5,"([np.int64(1), np.int64(17), np.int64(25), np.int64(45), np.int64(53), np.int64(67), np.int64(70), np.int64(74), np.int64(96), np.int64(106), np.int64(120), np.int64(166), np.int64(177), np.int64(191), np.int64(209), np.int64(211), np.int64(219), np.int64(230), np.int64(231)], np.float64(3.3660677549512212))","([np.int64(1), np.int64(45), np.int64(67), np.int64(70), np.int64(74), np.int64(96), np.int64(191), np.int64(209), np.int64(219), np.int64(230), np.int64(231)], np.float64(1.839538694044977))","([np.int64(231)], np.float64(93.5531400079463))","([np.int64(1), np.int64(17), np.int64(45), np.int64(48), np.int64(71), np.int64(74), np.int64(96), np.int64(193), np.int64(231)], np.float64(72.49001713583861))","([np.int64(231)], np.float64(183.5627915096467))"
6,"([np.int64(2), np.int64(12), np.int64(14), np.int64(19), np.int64(21), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(43), np.int64(47), np.int64(50), np.int64(92), np.int64(93), np.int64(94), np.int64(99), np.int64(105), np.int64(110), np.int64(118), np.int64(119), np.int64(122), np.int64(124), np.int64(128), np.int64(136), np.int64(137), np.int64(147), np.int64(156), np.int64(166), np.int64(173), np.int64(180), np.int64(198), np.int64(200), np.int64(201), np.int64(206), np.int64(207), np.int64(214), np.int64(219), np.int64(220), np.int64(222), np.int64(226), np.int64(227)], np.float64(19.287932195340524))","([np.int64(19), np.int64(21), np.int64(43), np.int64(47), np.int64(50), np.int64(118), np.int64(166), np.int64(173), np.int64(198), np.int64(207), np.int64(222)], np.float64(0.8527069882491097))","([], np.float64(100.21475846325073))","([np.int64(19), np.int64(117)], np.float64(102.18404645980283))","([np.int64(117), np.int64(205)], np.float64(146.4373579518614))"
7,"([np.int64(15), np.int64(19), np.int64(20), np.int64(23), np.int64(26), np.int64(29), np.int64(33), np.int64(34), np.int64(37), np.int64(43), np.int64(49), np.int64(59), np.int64(65), np.int64(69), np.int64(72), np.int64(76), np.int64(77), np.int64(78), np.int64(80), np.int64(81), np.int64(83), np.int64(94), np.int64(105), np.int64(112), np.int64(116), np.int64(120), np.int64(122), np.int64(125), np.int64(138), np.int64(139), np.int64(145), np.int64(146), np.int64(156), np.int64(163), np.int64(166), np.int64(175), np.int64(191), np.int64(193), np.int64(202), np.int64(213), np.int64(215), np.int64(217), np.int64(226), np.int64(230), np.int64(234), np.int64(235), np.int64(245)], np.float64(2.024021079316465))","([np.int64(29), np.int64(33), np.int64(34), np.int64(37), np.int64(105), np.int64(138), np.int64(146), np.int64(163), np.int64(213), np.int64(215), np.int64(235)], np.float64(5.998221822034858))","([np.int64(146)], np.float64(90.92405113421185))","([np.int64(37), np.int64(85), np.int64(146), np.int64(163)], np.float64(82.10454581350255))","([np.int64(100), np.int64(146), np.int64(163), np.int64(222)], np.float64(137.78667115614604))"
8,"([np.int64(7), np.int64(9), np.int64(13), np.int64(22), np.int64(23), np.int64(24), np.int64(27), np.int64(28), np.int64(34), np.int64(40), np.int64(41), np.int64(44), np.int64(46), np.int64(56), np.int64(60), np.int64(65), np.int64(82), np.int64(84), np.int64(91), np.int64(93), np.int64(101), np.int64(102), np.int64(111), np.int64(112), np.int64(114), np.int64(115), np.int64(116), np.int64(122), np.int64(128), np.int64(133), np.int64(135), np.int64(138), np.int64(146), np.int64(148), np.int64(161), np.int64(162), np.int64(169), np.int64(172), np.int64(173), np.int64(182), np.int64(185), np.int64(188), np.int64(193), np.int64(195), np.int64(204), np.int64(207), np.int64(212), np.int64(217), np.int64(238), np.int64(245), np.int64(248)], np.float64(1.0631207208544984))","([np.int64(40), np.int64(41), np.int64(93), np.int64(102), np.int64(111), np.int64(114), np.int64(133), np.int64(135), np.int64(169), np.int64(204), np.int64(212)], np.float64(0.6015387510297323))","([np.int64(114), np.int64(135), np.int64(169)], np.float64(87.44613618823057))","([np.int64(41), np.int64(114), np.int64(135), np.int64(169), np.int64(212)], np.float64(68.21049750402388))","([np.int64(135)], np.float64(211.90897248186312))"
9,"([np.int64(5), np.int64(14), np.int64(16), np.int64(19), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(48), np.int64(53), np.int64(62), np.int64(63), np.int64(65), np.int64(66), np.int64(68), np.int64(77), np.int64(79), np.int64(82), np.int64(86), np.int64(94), np.int64(96), np.int64(106), np.int64(114), np.int64(118), np.int64(124), np.int64(129), np.int64(130), np.int64(140), np.int64(141), np.int64(143), np.int64(150), np.int64(151), np.int64(172), np.int64(174), np.int64(180), np.int64(187), np.int64(194), np.int64(198), np.int64(199), np.int64(216), np.int64(217), np.int64(222), np.int64(239), np.int64(242), np.int64(244), np.int64(246), np.int64(247)], np.float64(2.292900163723096))","([np.int64(5), np.int64(14), np.int64(29), np.int64(65), np.int64(77), np.int64(94), np.int64(114), np.int64(174), np.int64(198), np.int64(242), np.int64(244), np.int64(247)], np.float64(1.1575239208743806))","([np.int64(5)], np.float64(96.16619032119165))","([np.int64(5), np.int64(48), np.int64(72), np.int64(94), np.int64(109), np.int64(114), np.int64(161), np.int64(174), np.int64(203)], np.float64(90.59662648461905))","([np.int64(5)], np.float64(200.00457086982942))"
10,"([np.int64(33), np.int64(38), np.int64(45), np.int64(57), np.int64(66), np.int64(68), np.int64(71), np.int64(100), np.int64(106), np.int64(108), np.int64(109), np.int64(110), np.int64(123), np.int64(183), np.int64(186), np.int64(190), np.int64(192), np.int64(193), np.int64(201), np.int64(203), np.int64(207), np.int64(209), np.int64(212), np.int64(213), np.int64(221), np.int64(223), np.int64(226), np.int64(231), np.int64(233), np.int64(234), np.int64(240)], np.float64(2.2828802094579514))","([np.int64(38), np.int64(57), np.int64(66), np.int64(71), np.int64(110), np.int64(123), np.int64(203), np.int64(213), np.int64(221), np.int64(226), np.int64(240)], np.float64(1.7327177927021262))","([np.int64(240)], np.float64(95.03524814700553))","([np.int64(38), np.int64(57), np.int64(122), np.int64(123), np.int64(167), np.int64(240)], np.float64(82.75962103630833))","([np.int64(123), np.int64(163), np.int64(171), np.int64(207), np.int64(240)], np.float64(120.68985708659672))"
11,"([np.int64(8), np.int64(27), np.int64(34), np.int64(45), np.int64(49), np.int64(50), np.int64(70), np.int64(90), np.int64(95), np.int64(108), np.int64(110), np.int64(122), np.int64(124), np.int64(126), np.int64(135), np.int64(137), np.int64(141), np.int64(180), np.int64(190), np.int64(205), np.int64(235), np.int64(238), np.int64(246)], np.float64(8.78346017296239))","([np.int64(34), np.int64(50), np.int64(90), np.int64(95), np.int64(108), np.int64(110), np.int64(124), np.int64(126), np.int64(137), np.int64(235), np.int64(246)], np.float64(1.9703435601804096))","([np.int64(90), np.int64(246)], np.float64(98.86668108017612))","([np.int64(97), np.int64(108), np.int64(137), np.int64(235), np.int64(246)], np.float64(80.8629052746835))","([np.int64(137), np.int64(235), np.int64(246)], np.float64(114.00469947209062))"
12,"([np.int64(12), np.int64(29), np.int64(41), np.int64(47), np.int64(50), np.int64(70), np.int64(72), np.int64(73), np.int64(80), np.int64(81), np.int64(102), np.int64(104), np.int64(105), np.int64(111), np.int64(126), np.int64(130), np.int64(135), np.int64(136), np.int64(146), np.int64(150), np.int64(162), np.int64(168), np.int64(170), np.int64(182), np.int64(183), np.int64(187), np.int64(189), np.int64(214), np.int64(230), np.int64(236), np.int64(241)], np.float64(10.58497546236206))","([np.int64(41), np.int64(80), np.int64(81), np.int64(105), np.int64(111), np.int64(130), np.int64(136), np.int64(146), np.int64(150), np.int64(187), np.int64(189)], np.float64(0.8548678322847645))","([np.int64(80)], np.float64(96.89141169515362))","([np.int64(3), np.int64(80), np.int64(105), np.int64(126)], np.float64(105.32899826842359))","([np.int64(80), np.int64(126), np.int64(188)], np.float64(144.86854667152238))"
13,"([np.int64(4), np.int64(8), np.int64(17), np.int64(38), np.int64(44), np.int64(54), np.int64(66), np.int64(68), np.int64(70), np.int64(107), np.int64(158), np.int64(160), np.int64(197), np.int64(210), np.int64(211), np.int64(222), np.int64(238)], np.float64(5.805341246405291))","([np.int64(4), np.int64(17), np.int64(38), np.int64(54), np.int64(68), np.int64(70), np.int64(107), np.int64(158), np.int64(197), np.int64(211), np.int64(238)], np.float64(1.7557937440593614))","([np.int64(4), np.int64(68), np.int64(238)], np.float64(96.19176412263512))","([np.int64(4), np.int64(17), np.int64(68), np.int64(158), np.int64(233), np.int64(238)], np.float64(75.08141163437942))","([np.int64(4), np.int64(38), np.int64(158), np.int64(248)], np.float64(121.38072900636026))"
14,"([np.int64(12), np.int64(15), np.int64(32), np.int64(34), np.int64(42), np.int64(64), np.int64(67), np.int64(73), np.int64(94), np.int64(101), np.int64(104), np.int64(106), np.int64(117), np.int64(127), np.int64(129), np.int64(134), np.int64(141), np.int64(144), np.int64(150), np.int64(155), np.int64(159), np.int64(165), np.int64(169), np.int64(175), np.int64(176), np.int64(179), np.int64(195), np.int64(196), np.int64(208), np.int64(215), np.int64(225), np.int64(227), np.int64(233), np.int64(234), np.int64(236)], np.float64(1.263644765729614))","([np.int64(32), np.int64(67), np.int64(73), np.int64(94), np.int64(104), np.int64(144), np.int64(159), np.int64(175), np.int64(176), np.int64(225), np.int64(227), np.int64(233)], np.float64(1.1218482112970596))","([np.int64(67), np.int64(104)], np.float64(92.25842099085176))","([np.int64(67), np.int64(73), np.int64(104), np.int64(141), np.int64(159), np.int64(161), np.int64(179)], np.float64(83.49495195858825))","([], np.float64(97.91564818919409))"
15,"([np.int64(2), np.int64(3), np.int64(10), np.int64(21), np.int64(25), np.int64(35), np.int64(36), np.int64(49), np.int64(53), np.int64(67), np.int64(69), np.int64(73), np.int64(83), np.int64(90), np.int64(98), np.int64(99), np.int64(123), np.int64(125), np.int64(143), np.int64(150), np.int64(170), np.int64(179), np.int64(180), np.int64(213), np.int64(225), np.int64(227), np.int64(239), np.int64(246), np.int64(249)], np.float64(5.952197886339854))","([np.int64(35), np.int64(53), np.int64(67), np.int64(69), np.int64(90), np.int64(99), np.int64(143), np.int64(170), np.int64(213), np.int64(227), np.int64(246)], np.float64(0.7481683945897524))","([np.int64(35), np.int64(53), np.int64(99)], np.float64(86.39986418576217))","([np.int64(25), np.int64(35), np.int64(53), np.int64(99), np.int64(181), np.int64(239)], np.float64(82.73141666383387))","([], np.float64(94.13919977594365))"
