run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
22,"([np.int64(49), np.int64(118), np.int64(129), np.int64(130), np.int64(156), np.int64(171), np.int64(185), np.int64(235), np.int64(248)], np.float64(5.902810357530927))","([np.int64(49), np.int64(118), np.int64(129), np.int64(171), np.int64(185), np.int64(235)], np.float64(3.6992802525658535))","([np.int64(118), np.int64(235)], np.float64(46.431599302810575))","([np.int64(70), np.int64(103), np.int64(118), np.int64(156), np.int64(171), np.int64(174), np.int64(235), np.int64(244)], np.float64(45.08139688953865))","([np.int64(118)], np.float64(75.3136730028814))"
23,"([np.int64(15), np.int64(75), np.int64(79), np.int64(94), np.int64(105), np.int64(129), np.int64(198)], np.float64(2.9781169667024634))","([np.int64(15), np.int64(75), np.int64(79), np.int64(105), np.int64(129), np.int64(198)], np.float64(0.22275448490188376))","([np.int64(75), np.int64(105), np.int64(129), np.int64(198)], np.float64(36.11737021005952))","([np.int64(75), np.int64(79), np.int64(105), np.int64(129), np.int64(198), np.int64(201)], np.float64(25.194649179323974))","([], np.float64(54.090769167070654))"
24,"([np.int64(24), np.int64(30), np.int64(73), np.int64(77), np.int64(81), np.int64(90), np.int64(126), np.int64(146), np.int64(157), np.int64(243), np.int64(244)], np.float64(9.51115917572991))","([np.int64(24), np.int64(30), np.int64(77), np.int64(81), np.int64(126), np.int64(244)], np.float64(0.6970952765809151))","([np.int64(30), np.int64(77), np.int64(126)], np.float64(47.68262336205937))","([np.int64(24), np.int64(30), np.int64(77), np.int64(86), np.int64(126), np.int64(146), np.int64(157), np.int64(213), np.int64(243), np.int64(244)], np.float64(36.656821104062125))","([np.int64(126), np.int64(146), np.int64(157), np.int64(221), np.int64(244)], np.float64(54.68464009294524))"
25,"([np.int64(8), np.int64(9), np.int64(15), np.int64(17), np.int64(20), np.int64(21), np.int64(25), np.int64(27), np.int64(29), np.int64(32), np.int64(35), np.int64(37), np.int64(43), np.int64(51), np.int64(52), np.int64(58), np.int64(72), np.int64(74), np.int64(77), np.int64(84), np.int64(89), np.int64(92), np.int64(97), np.int64(103), np.int64(105), np.int64(109), np.int64(111), np.int64(120), np.int64(128), np.int64(129), np.int64(138), np.int64(140), np.int64(144), np.int64(163), np.int64(169), np.int64(183), np.int64(185), np.int64(189), np.int64(193), np.int64(195), np.int64(199), np.int64(200), np.int64(202), np.int64(206), np.int64(212), np.int64(216), np.int64(220), np.int64(229), np.int64(233), np.int64(239), np.int64(246)], np.float64(1.419046345859559))","([np.int64(15), np.int64(84), np.int64(89), np.int64(193), np.int64(199), np.int64(202)], np.float64(0.6497322210833826))","([np.int64(84), np.int64(202)], np.float64(47.05162312911431))","([np.int64(84), np.int64(89), np.int64(202)], np.float64(34.31526403774916))","([np.int64(202), np.int64(229), np.int64(246)], np.float64(60.58488480684588))"
26,"([np.int64(13), np.int64(109), np.int64(169), np.int64(194), np.int64(216), np.int64(240), np.int64(244)], np.float64(8.591600350500682))","([np.int64(13), np.int64(109), np.int64(169), np.int64(194), np.int64(216), np.int64(240)], np.float64(0.1290133489997787))","([np.int64(109), np.int64(169), np.int64(240)], np.float64(44.23113139985555))","([np.int64(108), np.int64(109), np.int64(121), np.int64(130), np.int64(169), np.int64(208), np.int64(240)], np.float64(36.19553987103406))","([], np.float64(54.44559429036538))"
27,"([np.int64(43), np.int64(57), np.int64(85), np.int64(124), np.int64(140), np.int64(233)], np.float64(1.177679086016736))","([np.int64(43), np.int64(57), np.int64(85), np.int64(124), np.int64(140), np.int64(233)], np.float64(0.21126402495079094))","([np.int64(43), np.int64(57), np.int64(85), np.int64(124), np.int64(140), np.int64(233)], np.float64(11.098903465918086))","([np.int64(4), np.int64(43), np.int64(57), np.int64(85), np.int64(124), np.int64(140), np.int64(145), np.int64(233)], np.float64(18.740546843852474))","([np.int64(140), np.int64(183), np.int64(233)], np.float64(56.49524959148364))"
28,"([np.int64(10), np.int64(23), np.int64(38), np.int64(92), np.int64(108), np.int64(109), np.int64(148)], np.float64(2.0370410864548245))","([np.int64(10), np.int64(23), np.int64(92), np.int64(108), np.int64(109), np.int64(148)], np.float64(2.159970835327984))","([np.int64(10), np.int64(23), np.int64(92), np.int64(108), np.int64(148)], np.float64(42.83186806440343))","([np.int64(10), np.int64(23), np.int64(26), np.int64(58), np.int64(92), np.int64(97), np.int64(108), np.int64(109), np.int64(127), np.int64(148), np.int64(182)], np.float64(26.230394703082208))","([np.int64(10), np.int64(53), np.int64(127), np.int64(184)], np.float64(79.42110739409277))"
29,"([np.int64(2), np.int64(7), np.int64(84), np.int64(86), np.int64(98), np.int64(126), np.int64(139), np.int64(166), np.int64(189), np.int64(192), np.int64(239), np.int64(246), np.int64(248)], np.float64(1.6220546504304663))","([np.int64(7), np.int64(84), np.int64(126), np.int64(166), np.int64(189), np.int64(192)], np.float64(1.0159390536237023))","([np.int64(7), np.int64(126), np.int64(166), np.int64(192)], np.float64(43.60682291680656))","([np.int64(7), np.int64(120), np.int64(126), np.int64(166), np.int64(192)], np.float64(30.808202379144795))","([], np.float64(56.9140131478108))"
30,"([np.int64(70), np.int64(137), np.int64(156), np.int64(174), np.int64(189), np.int64(222)], np.float64(2.7373127513288913))","([np.int64(70), np.int64(137), np.int64(156), np.int64(174), np.int64(189), np.int64(222)], np.float64(0.24031122961033982))","([np.int64(70), np.int64(137), np.int64(156), np.int64(174), np.int64(189), np.int64(222)], np.float64(5.7385053870722915))","([np.int64(70), np.int64(137), np.int64(156), np.int64(174), np.int64(189), np.int64(219), np.int64(244)], np.float64(31.38199437383382))","([np.int64(70), np.int64(88), np.int64(126), np.int64(152), np.int64(159), np.int64(189), np.int64(244)], np.float64(72.64832630947265))"
31,"([np.int64(0), np.int64(5), np.int64(71), np.int64(88), np.int64(171), np.int64(197), np.int64(205), np.int64(244)], np.float64(1.3553087112141031))","([np.int64(5), np.int64(88), np.int64(171), np.int64(197), np.int64(205), np.int64(244)], np.float64(0.18524305438055788))","([np.int64(5), np.int64(88)], np.float64(49.53141808925985))","([np.int64(5), np.int64(88), np.int64(122), np.int64(171), np.int64(197), np.int64(200), np.int64(205)], np.float64(27.730112523677693))","([np.int64(88), np.int64(122)], np.float64(74.92611666736737))"
32,"([np.int64(7), np.int64(68), np.int64(76), np.int64(80), np.int64(130), np.int64(154), np.int64(188)], np.float64(4.590880355308438))","([np.int64(68), np.int64(76), np.int64(80), np.int64(130), np.int64(154), np.int64(188)], np.float64(1.2089808357174976))","([np.int64(76), np.int64(154)], np.float64(44.94708258075043))","([np.int64(7), np.int64(68), np.int64(76), np.int64(102), np.int64(139), np.int64(154)], np.float64(40.32161773958701))","([], np.float64(55.86864615128405))"
33,"([np.int64(2), np.int64(8), np.int64(48), np.int64(64), np.int64(88), np.int64(103), np.int64(140), np.int64(179), np.int64(196), np.int64(219)], np.float64(4.886701022484158))","([np.int64(2), np.int64(8), np.int64(88), np.int64(140), np.int64(196), np.int64(219)], np.float64(3.144994265101375))","([np.int64(2), np.int64(140)], np.float64(51.02453361515233))","([np.int64(0), np.int64(2), np.int64(48), np.int64(64), np.int64(88), np.int64(103), np.int64(140), np.int64(179), np.int64(215), np.int64(219)], np.float64(43.797987903656164))","([], np.float64(58.352447128940966))"
34,"([np.int64(31), np.int64(40), np.int64(43), np.int64(67), np.int64(133), np.int64(146), np.int64(147), np.int64(150), np.int64(151), np.int64(154), np.int64(186), np.int64(188), np.int64(203), np.int64(204), np.int64(232), np.int64(246)], np.float64(1.456082874729293))","([np.int64(31), np.int64(147), np.int64(151), np.int64(154), np.int64(204), np.int64(232)], np.float64(0.5482211725134025))","([np.int64(151), np.int64(154)], np.float64(46.965923654233606))","([np.int64(31), np.int64(40), np.int64(43), np.int64(101), np.int64(125), np.int64(151), np.int64(154), np.int64(232)], np.float64(31.376490305235137))","([np.int64(9), np.int64(31), np.int64(183), np.int64(205), np.int64(232)], np.float64(63.68117657755791))"
35,"([np.int64(49), np.int64(54), np.int64(67), np.int64(155), np.int64(225), np.int64(231)], np.float64(2.3017364146777837))","([np.int64(49), np.int64(54), np.int64(67), np.int64(155), np.int64(225), np.int64(231)], np.float64(1.1258868963092832))","([np.int64(49), np.int64(54), np.int64(67), np.int64(155), np.int64(225), np.int64(231)], np.float64(3.8872001128926614))","([np.int64(7), np.int64(49), np.int64(54), np.int64(67), np.int64(138), np.int64(155), np.int64(225), np.int64(231)], np.float64(23.23588878517248))","([], np.float64(56.06365573693539))"
36,"([np.int64(63), np.int64(64), np.int64(174), np.int64(199), np.int64(207), np.int64(217), np.int64(241), np.int64(246)], np.float64(1.5764604466065406))","([np.int64(63), np.int64(64), np.int64(174), np.int64(199), np.int64(241), np.int64(246)], np.float64(0.14021129620128822))","([np.int64(63), np.int64(174), np.int64(199), np.int64(241)], np.float64(36.41816397777727))","([np.int64(6), np.int64(63), np.int64(108), np.int64(126), np.int64(174), np.int64(241)], np.float64(43.465149303812105))","([np.int64(63), np.int64(241), np.int64(246)], np.float64(47.38331245002708))"
37,"([np.int64(32), np.int64(40), np.int64(109), np.int64(122), np.int64(126), np.int64(148), np.int64(164), np.int64(215)], np.float64(11.45354727055851))","([np.int64(32), np.int64(40), np.int64(122), np.int64(126), np.int64(148), np.int64(164)], np.float64(0.5983368284518001))","([np.int64(40), np.int64(122)], np.float64(49.477854625138036))","([np.int64(32), np.int64(40), np.int64(109), np.int64(122), np.int64(148), np.int64(249)], np.float64(35.48713776116424))","([], np.float64(54.407940513989814))"
38,"([np.int64(15), np.int64(20), np.int64(35), np.int64(42), np.int64(82), np.int64(89), np.int64(115), np.int64(131), np.int64(139), np.int64(232), np.int64(237), np.int64(240)], np.float64(2.8870856441657504))","([np.int64(35), np.int64(42), np.int64(115), np.int64(139), np.int64(237), np.int64(240)], np.float64(2.707233616373437))","([np.int64(42), np.int64(115), np.int64(240)], np.float64(45.58244701606799))","([np.int64(42), np.int64(63), np.int64(115), np.int64(139), np.int64(208)], np.float64(39.36697170902581))","([np.int64(39), np.int64(42), np.int64(115), np.int64(207)], np.float64(66.84017235459888))"
39,"([np.int64(22), np.int64(80), np.int64(81), np.int64(103), np.int64(156), np.int64(165), np.int64(208)], np.float64(7.745087040664965))","([np.int64(22), np.int64(80), np.int64(103), np.int64(156), np.int64(165), np.int64(208)], np.float64(0.3675964506268149))","([np.int64(22), np.int64(80), np.int64(81), np.int64(103), np.int64(156), np.int64(165), np.int64(208)], np.float64(32.3547724496332))","([np.int64(80), np.int64(81), np.int64(103), np.int64(156), np.int64(165), np.int64(208), np.int64(210)], np.float64(28.394615551525902))","([], np.float64(54.61989550654944))"
40,"([np.int64(40), np.int64(43), np.int64(68), np.int64(109), np.int64(112), np.int64(173), np.int64(201), np.int64(208)], np.float64(4.746817109068085))","([np.int64(40), np.int64(43), np.int64(112), np.int64(173), np.int64(201), np.int64(208)], np.float64(0.12319271637116051))","([np.int64(173), np.int64(201)], np.float64(43.801794770912736))","([np.int64(26), np.int64(40), np.int64(47), np.int64(68), np.int64(105), np.int64(109), np.int64(170), np.int64(173), np.int64(201), np.int64(208)], np.float64(35.181705793919505))","([np.int64(201)], np.float64(71.4036470306805))"
41,"([np.int64(30), np.int64(36), np.int64(61), np.int64(94), np.int64(104), np.int64(123), np.int64(181), np.int64(249)], np.float64(5.81844441902064))","([np.int64(30), np.int64(36), np.int64(61), np.int64(94), np.int64(104), np.int64(123)], np.float64(0.33681672455585804))","([np.int64(30), np.int64(94)], np.float64(46.41858740098286))","([np.int64(30), np.int64(42), np.int64(94), np.int64(138), np.int64(177)], np.float64(46.632518186412895))","([np.int64(30), np.int64(101)], np.float64(63.141630361619306))"
42,"([np.int64(28), np.int64(41), np.int64(63), np.int64(120), np.int64(127), np.int64(141)], np.float64(1.7848316155806252))","([np.int64(28), np.int64(41), np.int64(63), np.int64(120), np.int64(127), np.int64(141)], np.float64(1.777503763199172))","([np.int64(28), np.int64(41), np.int64(63), np.int64(120), np.int64(127), np.int64(141)], np.float64(7.923580897865781))","([np.int64(22), np.int64(28), np.int64(41), np.int64(63), np.int64(120), np.int64(127), np.int64(141)], np.float64(20.138280060937767))","([np.int64(28), np.int64(63), np.int64(120), np.int64(123), np.int64(127), np.int64(141)], np.float64(37.25058690379764))"
43,"([np.int64(85), np.int64(118), np.int64(119), np.int64(168), np.int64(222), np.int64(226)], np.float64(1.3281199303184825))","([np.int64(47), np.int64(85), np.int64(118), np.int64(119), np.int64(168), np.int64(222), np.int64(226)], np.float64(0.13549852729752543))","([np.int64(85), np.int64(118), np.int64(119), np.int64(168), np.int64(222), np.int64(226)], np.float64(8.943563601396919))","([np.int64(6), np.int64(40), np.int64(77), np.int64(118), np.int64(119), np.int64(133), np.int64(155), np.int64(156), np.int64(168), np.int64(174), np.int64(187), np.int64(222), np.int64(226), np.int64(236)], np.float64(38.6613417294918))","([np.int64(119), np.int64(168), np.int64(226), np.int64(236)], np.float64(49.3310040933924))"
