run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(2), np.int64(135), np.int64(147), np.int64(156)], np.float64(3.265814238943712))","([np.int64(2), np.int64(135), np.int64(147), np.int64(156)], np.float64(0.18337393713634292))","([np.int64(2), np.int64(135), np.int64(147), np.int64(156)], np.float64(6.805074591342869))","([np.int64(2), np.int64(91), np.int64(102), np.int64(115), np.int64(135), np.int64(147), np.int64(156), np.int64(184)], np.float64(15.990093630392602))","([np.int64(147)], np.float64(61.0778006254495))"
1,"([np.int64(58), np.int64(91), np.int64(146), np.int64(157), np.int64(187), np.int64(192), np.int64(208)], np.float64(0.688506205183079))","([np.int64(91), np.int64(146), np.int64(157), np.int64(187)], np.float64(3.811072083371264))","([np.int64(91), np.int64(146), np.int64(157), np.int64(187)], np.float64(4.123772786869347))","([np.int64(73), np.int64(77), np.int64(91), np.int64(120), np.int64(126), np.int64(146), np.int64(157), np.int64(187)], np.float64(14.654315907809764))","([np.int64(91), np.int64(126)], np.float64(42.23044641480787))"
2,"([np.int64(126), np.int64(142), np.int64(145), np.int64(219), np.int64(231)], np.float64(2.8343766539662973))","([np.int64(126), np.int64(142), np.int64(145), np.int64(219)], np.float64(0.41619871393192487))","([np.int64(126), np.int64(142), np.int64(145), np.int64(219)], np.float64(2.130628090566534))","([np.int64(85), np.int64(123), np.int64(126), np.int64(139), np.int64(142), np.int64(145), np.int64(219), np.int64(231), np.int64(235)], np.float64(16.018749650584724))","([np.int64(142), np.int64(235), np.int64(239)], np.float64(44.17454213376115))"
3,"([np.int64(38), np.int64(102), np.int64(148), np.int64(231)], np.float64(8.664590515107772))","([np.int64(38), np.int64(102), np.int64(148), np.int64(231)], np.float64(0.11902405389259935))","([np.int64(38), np.int64(102), np.int64(148)], np.float64(25.105737990737477))","([np.int64(38), np.int64(82), np.int64(102)], np.float64(22.502521190843638))","([np.int64(38), np.int64(89), np.int64(102), np.int64(148), np.int64(202)], np.float64(20.556436768846716))"
4,"([np.int64(23), np.int64(147), np.int64(222), np.int64(238)], np.float64(1.4719700603698316))","([np.int64(23), np.int64(147), np.int64(222), np.int64(238)], np.float64(0.0955710758934901))","([np.int64(23), np.int64(147), np.int64(222), np.int64(238)], np.float64(3.2716731177548803))","([np.int64(23), np.int64(77), np.int64(222), np.int64(238)], np.float64(15.906295764638722))","([np.int64(238)], np.float64(56.7834194393871))"
5,"([np.int64(4), np.int64(80), np.int64(83), np.int64(102), np.int64(212)], np.float64(1.0248336071093762))","([np.int64(4), np.int64(83), np.int64(102), np.int64(212)], np.float64(0.37424418157598904))","([np.int64(4), np.int64(83), np.int64(102), np.int64(212)], np.float64(1.4517289177711554))","([np.int64(4), np.int64(80), np.int64(83), np.int64(102), np.int64(212)], np.float64(11.823053530935859))","([np.int64(4), np.int64(5), np.int64(80), np.int64(83), np.int64(186), np.int64(217), np.int64(240)], np.float64(27.85549602058358))"
6,"([np.int64(5), np.int64(12), np.int64(147), np.int64(154), np.int64(212)], np.float64(0.24249874751163417))","([np.int64(5), np.int64(12), np.int64(154), np.int64(212)], np.float64(0.15344685925381987))","([np.int64(5), np.int64(12), np.int64(154), np.int64(212)], np.float64(0.48319497674954365))","([np.int64(5), np.int64(12), np.int64(154), np.int64(212)], np.float64(7.915965739117003))","([np.int64(5), np.int64(194)], np.float64(48.50726189040909))"
7,"([np.int64(35), np.int64(93), np.int64(164), np.int64(190), np.int64(242)], np.float64(3.7843411286540705))","([np.int64(93), np.int64(164), np.int64(190), np.int64(242)], np.float64(0.13187347268107583))","([np.int64(93), np.int64(190)], np.float64(30.617923977009713))","([np.int64(65), np.int64(69), np.int64(93), np.int64(172), np.int64(190), np.int64(242)], np.float64(20.15092229754942))","([np.int64(93), np.int64(164), np.int64(190), np.int64(242), np.int64(249)], np.float64(10.960980596200823))"
8,"([np.int64(2), np.int64(7), np.int64(8), np.int64(18), np.int64(23), np.int64(34), np.int64(50), np.int64(54), np.int64(63), np.int64(65), np.int64(69), np.int64(72), np.int64(75), np.int64(76), np.int64(82), np.int64(84), np.int64(106), np.int64(122), np.int64(123), np.int64(126), np.int64(127), np.int64(134), np.int64(136), np.int64(145), np.int64(152), np.int64(161), np.int64(166), np.int64(168), np.int64(173), np.int64(179), np.int64(182), np.int64(185), np.int64(190), np.int64(192), np.int64(195), np.int64(206), np.int64(207), np.int64(214), np.int64(227), np.int64(239)], np.float64(1.1577116758781851))","([np.int64(69), np.int64(75), np.int64(206), np.int64(227)], np.float64(0.08157751492471298))","([np.int64(69), np.int64(75), np.int64(206), np.int64(227)], np.float64(6.896539498191744))","([np.int64(13), np.int64(48), np.int64(69), np.int64(75), np.int64(206), np.int64(227)], np.float64(11.410977685799272))","([np.int64(69), np.int64(227)], np.float64(29.186136517942995))"
9,"([np.int64(22), np.int64(97), np.int64(155), np.int64(168), np.int64(206), np.int64(214), np.int64(222)], np.float64(2.2570941549945682))","([np.int64(155), np.int64(168), np.int64(198), np.int64(214), np.int64(222)], np.float64(0.44666953387874925))","([np.int64(155), np.int64(168), np.int64(214), np.int64(222)], np.float64(4.724535017168619))","([np.int64(10), np.int64(77), np.int64(155), np.int64(168), np.int64(214), np.int64(222), np.int64(236)], np.float64(15.497759746355813))","([np.int64(168), np.int64(214)], np.float64(33.08565382489421))"
